subject,neuron,region_clean,TC_coding
YFM,40,ENT,0
YFM,41,ENT,1
YFM,42,ENT,0
YFM,43,ENT,1
YFM,44,ENT,1
YFM,45,ENT,0
YFM,46,ENT,0
YFM,47,ENT,0
YFM,48,ENT,0
YFM,49,ENT,1
YFM,50,ENT,0
YFM,62,HPC,0
YFM,63,HPC,0
YFM,64,HPC,0
YFM,65,HPC,1
YFM,66,HPC,1
YFM,67,HPC,0
YFM,68,HPC,0
YFM,69,HPC,0
YFM,70,HPC,0
YFM,71,HPC,0
YFM,72,HPC,0
YFM,73,HPC,0
YFM,74,HPC,0
YFM,75,HPC,0
YFM,76,HPC,0
YFM,77,HPC,0
YFM,78,HPC,0
YFM,79,HPC,0
YFM,80,HPC,0
YFM,81,HPC,1
YFM,82,HPC,0
YFM,83,ENT,0
YFM,84,ENT,0
YFM,85,ENT,0
YFM,86,ENT,1
YFM,87,ENT,0
YFM,88,ENT,0
YFM,89,ENT,1
YFM,90,ENT,0
YFM,91,ENT,0
YFM,92,ENT,1
YFM,93,ENT,0
YFM,94,ENT,0
YFP,30,HPC,1
YFP,31,HPC,0
YFP,32,HPC,1
YFP,33,HPC,0
YFP,34,HPC,1
YFP,35,HPC,0
YFP,36,HPC,1
YFP,37,HPC,0
YFP,38,HPC,0
YFP,39,HPC,1
YFP,40,HPC,0
YFP,41,HPC,0
YFP,42,HPC,0
YFP,43,HPC,0
YFP,44,HPC,0
YFP,45,HPC,0
YFP,46,HPC,0
YFP,47,HPC,0
YFP,74,HPC,0
YFP,75,HPC,0
YFP,76,HPC,0
YFP,77,HPC,0
YFP,78,HPC,0
YFP,79,HPC,0
YFP,80,HPC,1
YFP,81,HPC,0
YFP,82,HPC,0
YFP,83,HPC,0
YFP,84,HPC,0
YFP,85,HPC,0
YFP,86,HPC,1
YFP,87,HPC,0
YFP,88,HPC,0
YFP,89,HPC,0
YFP,90,HPC,0
YFP,91,HPC,1
YFP,92,HPC,0
YFP,93,HPC,1
YFP,94,HPC,0
YFP,95,HPC,0
YFP,96,HPC,0
YFP,97,HPC,0
YFP,98,HPC,0
YFR,1,HPC,0
YFR,2,HPC,0
YFR,3,HPC,0
YFR,4,HPC,0
YFR,5,HPC,0
YFR,6,HPC,1
YFR,7,HPC,0
YFR,8,HPC,0
YFR,9,HPC,0
YFR,10,HPC,0
YFR,11,HPC,0
YFR,12,HPC,0
YFR,13,HPC,0
YFR,14,HPC,0
YFR,16,HPC,0
YFR,17,HPC,0
YFR,18,HPC,0
YFR,19,HPC,1
YFR,20,HPC,1
YFR,21,HPC,1
YFR,22,HPC,1
YFR,23,HPC,1
YFR,24,HPC,0
YFR,25,AMY,0
