region_clean,n_subjects,mean_percent,sem_percent
HPC,11,30.3972763753677,3.757732108972817
ENT,5,23.80189317106153,6.3532503434242
AMY,4,18.412384716732543,3.513641415780456
PHC,1,38.88888888888889,
