subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFS,27,amy,0.0909090909090909,0.1515151515151515,300,0.5,264,10,0.1115530303030303,0.8159203980099502,False,0.10857954545454547,0.03482587064676617,True,100.16356754302979
YFS,28,amy,0.0795454545454545,0.1439393939393939,60,0.8,264,10,0.1096212121212121,0.9353233830845771,False,0.10943181818181819,0.0845771144278607,False,142.0648226737976
YFS,29,amy,0.0871212121212121,0.0946969696969697,225,0.5,264,10,0.10884469696969697,0.8557213930348259,False,0.10931818181818181,0.7661691542288557,False,116.3929808139801
YFS,30,amy,0.1212121212121212,0.1287878787878787,450,0.2,264,10,0.1146401515151515,0.6119402985074627,False,0.11452651515151516,0.20398009950248755,False,107.49817132949829
YFS,31,amy,0.1212121212121212,0.1439393939393939,150,0.5,264,10,0.11259469696969697,0.4129353233830846,False,0.10975378787878787,0.07462686567164178,False,114.95159983634949
YFS,32,amy,0.0909090909090909,0.1022727272727272,150,0.8,264,10,0.11225378787878788,0.8557213930348259,False,0.11077651515151515,0.6716417910447762,False,111.4161159992218
YFS,33,amy,0.1174242424242424,0.125,150,0.5,264,10,0.1071969696969697,0.3582089552238806,False,0.10907196969696971,0.27860696517412936,False,108.14514374732971
YFS,34,amy,0.1477272727272727,0.1477272727272727,900,0.2,264,10,0.11513257575757577,0.029850746268656716,True,0.11513257575757577,0.029850746268656716,True,104.77293848991394
YFS,35,amy,0.125,0.1325757575757575,100,0.8,264,10,0.11386363636363636,0.35323383084577115,False,0.11248106060606063,0.20398009950248755,False,120.45284271240234
YFS,36,amy,0.0378787878787878,0.1212121212121212,60,0.5,264,10,0.11142045454545453,1.0,False,0.11056818181818182,0.31343283582089554,False,101.22837424278259
YFS,37,amy,0.1553030303030303,0.1931818181818181,225,0.5,264,10,0.1085037878787879,0.029850746268656716,True,0.11041666666666666,0.004975124378109453,True,100.66906595230103
YFS,38,hpc,0.106060606060606,0.1325757575757575,180,0.5,264,10,0.11107954545454547,0.6218905472636815,False,0.11062500000000001,0.208955223880597,False,108.90847301483154
YFS,39,hpc,0.0946969696969697,0.1515151515151515,60,0.2,264,10,0.1075,0.7114427860696517,False,0.10799242424242424,0.024875621890547265,True,110.47436571121216
YFS,40,hpc,0.0795454545454545,0.1325757575757575,100,0.5,264,10,0.10875,0.9203980099502488,False,0.10880681818181819,0.208955223880597,False,37.284252643585205
