subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFF,9,ent,0.1009174311926605,0.1651376146788991,180,0.2,109,7,0.1063761467889908,0.6467661691542289,False,0.105091743119266,0.0597014925373134,False,12.667939901351929
YFF,10,hpc,0.091743119266055,0.1559633027522936,90,0.2,109,7,0.1068807339449541,0.7313432835820896,False,0.1092660550458715,0.0945273631840796,False,11.077304363250732
YFF,11,hpc,0.110091743119266,0.2018348623853211,100,0.5,109,7,0.1094036697247706,0.5323383084577115,False,0.1072477064220183,0.0199004975124378,True,10.417088270187378
YFF,12,hpc,0.1009174311926605,0.1743119266055046,300,0.5,109,7,0.1104587155963302,0.6417910447761194,False,0.1081651376146789,0.0497512437810945,True,11.636312007904053
YFF,13,hpc,0.146788990825688,0.1559633027522936,100,0.8,109,7,0.1047706422018348,0.1592039800995024,False,0.1132568807339449,0.1393034825870646,False,11.46834683418274
YFF,14,hpc,0.1192660550458715,0.1926605504587156,100,0.2,109,7,0.108440366972477,0.4228855721393035,False,0.1085321100917431,0.0298507462686567,True,11.40156626701355
YFF,15,hpc,0.055045871559633,0.1651376146788991,75,0.5,109,7,0.1090825688073394,0.9502487562189056,False,0.1098623853211009,0.0895522388059701,False,13.04225754737854
YFF,16,hpc,0.091743119266055,0.146788990825688,60,0.2,109,7,0.1065137614678899,0.7611940298507462,False,0.1105045871559633,0.1840796019900497,False,13.66644549369812
YFF,17,hpc,0.1559633027522936,0.1651376146788991,150,0.2,109,7,0.1046788990825688,0.1044776119402985,False,0.108348623853211,0.0796019900497512,False,10.992708444595335
YFF,27,hpc,0.073394495412844,0.146788990825688,60,0.2,109,7,0.1069724770642201,0.8706467661691543,False,0.1145412844036697,0.1890547263681592,False,13.411121129989624
YFF,28,hpc,0.0642201834862385,0.1009174311926605,75,0.2,109,7,0.0973853211009174,0.9154228855721394,False,0.0985321100917431,0.4975124378109453,False,12.12604022026062
YFF,29,hpc,0.091743119266055,0.1834862385321101,180,0.2,109,7,0.105045871559633,0.6915422885572139,False,0.1090366972477064,0.0348258706467661,True,10.891408205032349
