subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status,error
YFF,9,ent,3.9551478083588174,109.0,7.0,7.0,0.1009174311926605,0.1651376146788991,180.0,0.2,success,
YFF,10,hpc,16.666666666666668,109.0,7.0,7.0,0.091743119266055,0.1559633027522936,90.0,0.2,success,
YFF,11,hpc,17.563710499490316,109.0,7.0,7.0,0.110091743119266,0.2018348623853211,100.0,0.5,success,
YFF,12,hpc,17.003058103975533,109.0,7.0,7.0,0.1009174311926605,0.1743119266055046,300.0,0.5,success,
YFF,13,hpc,16.860346585117227,109.0,7.0,7.0,0.146788990825688,0.1559633027522936,100.0,0.8,success,
YFF,14,hpc,18.86850152905199,109.0,7.0,7.0,0.1192660550458715,0.1926605504587156,100.0,0.2,success,
YFF,15,hpc,17.502548419979615,109.0,7.0,7.0,0.055045871559633,0.1651376146788991,75.0,0.5,success,
YFF,16,hpc,13.12945973496432,109.0,7.0,7.0,0.091743119266055,0.146788990825688,60.0,0.2,success,
YFF,17,hpc,15.341488277268091,109.0,7.0,7.0,0.1559633027522936,0.1651376146788991,150.0,0.2,success,
YFF,27,hpc,16.04485219164118,109.0,7.0,7.0,0.073394495412844,0.146788990825688,60.0,0.2,success,
YFF,28,hpc,0.4587155963302752,109.0,7.0,7.0,0.0642201834862385,0.1009174311926605,75.0,0.2,success,
YFF,29,hpc,16.717635066258918,109.0,7.0,7.0,0.091743119266055,0.1834862385321101,180.0,0.2,success,
YFF,30,hpc,0.4281345565749235,109.0,7.0,7.0,0.0642201834862385,0.110091743119266,75.0,0.2,success,
YFF,31,hpc,13.363914373088686,109.0,7.0,7.0,0.091743119266055,0.1926605504587156,100.0,0.5,success,
YFF,32,hpc,0.4587155963302752,109.0,7.0,7.0,0.0825688073394495,0.1009174311926605,75.0,0.5,success,
YFF,33,hpc,17.176350662589194,109.0,7.0,7.0,0.128440366972477,0.1743119266055046,90.0,0.8,success,
YFF,34,hpc,16.36085626911315,109.0,7.0,7.0,0.1009174311926605,0.1834862385321101,180.0,0.2,success,
YFF,35,hpc,13.812436289500509,109.0,7.0,7.0,0.0825688073394495,0.1834862385321101,180.0,0.8,success,
YFF,36,hpc,12.966360856269114,109.0,7.0,7.0,0.1192660550458715,0.1651376146788991,150.0,0.2,success,
YFF,37,hpc,0.5198776758409785,109.0,7.0,7.0,0.055045871559633,0.0642201834862385,150.0,0.2,success,
YFF,38,hpc,16.462793068297653,109.0,7.0,7.0,0.055045871559633,0.146788990825688,60.0,0.8,success,
YFF,39,hpc,15.953109072375128,109.0,7.0,7.0,0.128440366972477,0.2018348623853211,300.0,0.8,success,
YFF,40,hpc,6.401630988786954,109.0,7.0,7.0,0.1743119266055046,0.2018348623853211,300.0,0.8,success,
YFF,41,hpc,31.99796126401631,109.0,7.0,7.0,0.036697247706422,0.1743119266055046,60.0,0.2,success,
YFF,42,hpc,0.4587155963302753,109.0,7.0,7.0,0.0458715596330275,0.1009174311926605,180.0,0.2,success,
YFF,43,hpc,21.192660550458715,109.0,7.0,7.0,0.073394495412844,0.110091743119266,60.0,0.8,success,
