subject,neuron,region,mean_firing_rate_hz,n_presentations,min_class_count,n_splits,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,status,error
YFS,27,amy,1.271043771043771,264.0,24.0,10.0,0.0909090909090909,0.1515151515151515,300.0,0.5,success,
YFS,28,amy,1.6456228956228955,264.0,24.0,10.0,0.0795454545454545,0.1439393939393939,60.0,0.8,success,
YFS,29,amy,0.4503367003367003,264.0,24.0,10.0,0.0871212121212121,0.0946969696969697,225.0,0.5,success,
YFS,30,amy,0.0336700336700336,264.0,24.0,10.0,0.1212121212121212,0.1287878787878787,450.0,0.2,success,
YFS,31,amy,9.41919191919192,264.0,24.0,10.0,0.1212121212121212,0.1439393939393939,150.0,0.5,success,
YFS,32,amy,6.91077441077441,264.0,24.0,10.0,0.0909090909090909,0.1022727272727272,150.0,0.8,success,
YFS,33,amy,3.2996632996633,264.0,24.0,10.0,0.1174242424242424,0.125,150.0,0.5,success,
YFS,34,amy,0.1304713804713804,264.0,24.0,10.0,0.1477272727272727,0.1477272727272727,900.0,0.2,success,
YFS,35,amy,7.887205387205388,264.0,24.0,10.0,0.125,0.1325757575757575,100.0,0.8,success,
YFS,36,amy,7.02020202020202,264.0,24.0,10.0,0.0378787878787878,0.1212121212121212,60.0,0.5,success,
YFS,37,amy,2.664141414141414,264.0,24.0,10.0,0.1553030303030303,0.1931818181818181,225.0,0.5,success,
YFS,38,hpc,5.938552188552189,264.0,24.0,10.0,0.106060606060606,0.1325757575757575,180.0,0.5,success,
YFS,39,hpc,0.2819865319865319,264.0,24.0,10.0,0.0946969696969697,0.1515151515151515,60.0,0.2,success,
YFS,40,hpc,12.781986531986531,264.0,24.0,10.0,0.0795454545454545,0.1325757575757575,100.0,0.5,success,
YFS,41,hpc,20.63973063973064,264.0,24.0,10.0,0.1022727272727272,0.1363636363636363,225.0,0.5,success,
YFS,42,hpc,0.1809764309764309,264.0,24.0,10.0,0.0871212121212121,0.0909090909090909,100.0,0.2,success,
YFS,43,hpc,3.3122895622895623,264.0,24.0,10.0,0.0795454545454545,0.1212121212121212,180.0,0.5,success,
YFS,44,hpc,11.595117845117846,264.0,24.0,10.0,0.0909090909090909,0.1287878787878787,90.0,0.2,success,
YFS,45,hpc,10.736531986531986,264.0,24.0,10.0,0.0909090909090909,0.1628787878787878,225.0,0.5,success,
YFS,46,hpc,9.726430976430976,264.0,24.0,10.0,0.0833333333333333,0.1704545454545454,300.0,0.2,success,
YFS,47,hpc,6.965488215488215,264.0,24.0,10.0,0.0909090909090909,0.1590909090909091,90.0,0.5,success,
YFS,48,hpc,0.016835016835016835,264.0,24.0,10.0,0.12121212121212122,0.12121212121212122,60.0,0.2,success,All features were removed because of zero within-class variance.
YFS,49,hpc,9.385521885521884,264.0,24.0,10.0,0.1098484848484848,0.1477272727272727,150.0,0.5,success,
YFS,50,hpc,12.824074074074074,264.0,24.0,10.0,0.1515151515151515,0.1515151515151515,900.0,0.2,success,
YFS,51,hpc,18.85942760942761,264.0,24.0,10.0,0.1212121212121212,0.1212121212121212,900.0,0.2,success,
YFS,52,hpc,11.931818181818182,264.0,24.0,10.0,0.1325757575757575,0.1325757575757575,900.0,0.2,success,
YFS,53,hpc,12.988215488215488,264.0,24.0,10.0,0.1098484848484848,0.2083333333333333,60.0,0.8,success,
YFS,54,hpc,8.177609427609427,264.0,24.0,10.0,0.1325757575757575,0.1439393939393939,75.0,0.2,success,
YFS,55,hpc,17.432659932659934,264.0,24.0,10.0,0.1287878787878787,0.1666666666666666,150.0,0.8,success,
YFS,56,hpc,0.5513468013468013,264.0,24.0,10.0,0.1212121212121212,0.1628787878787878,100.0,0.8,success,
YFS,57,hpc,2.3021885521885523,264.0,24.0,10.0,0.106060606060606,0.1287878787878787,100.0,0.2,success,
YFS,58,hpc,8.627946127946128,264.0,24.0,10.0,0.1287878787878787,0.1515151515151515,90.0,0.5,success,
YFS,59,hpc,9.696969696969695,264.0,24.0,10.0,0.1174242424242424,0.1628787878787878,450.0,0.8,success,
YFS,60,hpc,1.6245791245791246,264.0,24.0,10.0,0.1022727272727272,0.1098484848484848,300.0,0.2,success,
YFS,61,hpc,19.94949494949495,264.0,24.0,10.0,0.1136363636363636,0.1401515151515151,100.0,0.2,success,
YFS,62,hpc,0.0336700336700336,264.0,24.0,10.0,0.1174242424242424,0.1212121212121212,150.0,0.2,success,
YFS,63,hpc,1.1574074074074074,264.0,24.0,10.0,0.0871212121212121,0.1212121212121212,100.0,0.8,success,
YFS,75,hpc,16.224747474747474,264.0,24.0,10.0,0.0984848484848484,0.1704545454545454,100.0,0.8,success,
YFS,76,hpc,0.0336700336700336,264.0,24.0,10.0,0.1212121212121212,0.125,450.0,0.2,success,
YFS,77,hpc,11.13215488215488,264.0,24.0,10.0,0.1212121212121212,0.1287878787878787,150.0,0.5,success,
YFS,78,hpc,10.315656565656564,264.0,24.0,10.0,0.0757575757575757,0.1477272727272727,180.0,0.2,success,
YFS,79,hpc,0.5134680134680134,264.0,24.0,10.0,0.1136363636363636,0.1287878787878787,60.0,0.2,success,
YFS,80,hpc,10.702861952861952,264.0,24.0,10.0,0.106060606060606,0.106060606060606,90.0,0.2,success,
