subject,neuron,max_accuracy,n_tied_numbers,tied_numbers,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFI,3,0.2727272727272727,2,"3, 4",0.1,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.1111111111111111,0.1,0.2,0.17391304347826086,0.1111111111111111
YFI,24,0.45454545454545453,2,"3, 4",0.3,0.0,0.45454545454545453,0.45454545454545453,0.1111111111111111,0.3,0.1,0.13043478260869565,0.0
YFM,66,0.5,2,"4, 9",0.0,0.17647058823529413,0.2857142857142857,0.5,0.14285714285714285,0.375,0.1,0.08333333333333333,0.5
