subject,neuron,region,FR_accuracy,TC_accuracy,best_bin_ms,best_gamma,n_presentations,n_splits,FR_null_mean,FR_p,FR_coding,TC_null_mean,TC_p,TC_coding,elapsed_seconds
YFT,10,ent,0.1111111111111111,0.1446540880503144,180,0.8,477,10,0.10995807127882598,0.46766169154228854,False,0.11112159329140461,0.03482587064676617,True,30.745028734207153
YFT,11,ent,0.1174004192872117,0.1257861635220125,450,0.2,477,10,0.10909853249475891,0.31840796019900497,False,0.11064989517819704,0.22388059701492538,False,28.21178126335144
YFT,12,ent,0.10062893081761,0.1383647798742138,90,0.2,477,10,0.10933962264150943,0.7114427860696517,False,0.11179245283018868,0.06467661691542288,False,32.023125648498535
YFT,13,ent,0.1656184486373165,0.1698113207547169,450,0.2,477,10,0.1090566037735849,0.004975124378109453,True,0.10968553459119496,0.004975124378109453,True,27.551179885864258
YFT,14,ent,0.1257861635220125,0.1446540880503144,75,0.8,477,10,0.11023060796645702,0.1890547263681592,False,0.11161425576519916,0.01990049751243781,True,32.825682163238525
YFT,15,ent,0.1278825995807128,0.1278825995807128,900,0.2,477,10,0.11097484276729559,0.1791044776119403,False,0.11097484276729559,0.1791044776119403,False,25.35321021080017
YFT,16,ent,0.1194968553459119,0.140461215932914,150,0.8,477,10,0.11242138364779874,0.3482587064676617,False,0.11178197064989519,0.06965174129353234,False,30.42028498649597
YFT,17,ent,0.1194968553459119,0.1341719077568134,60,0.5,477,10,0.11031446540880502,0.3333333333333333,False,0.11053459119496856,0.10945273631840796,False,36.06214880943298
YFT,18,hpc,0.1362683438155136,0.1362683438155136,900,0.2,477,10,0.11179245283018868,0.06467661691542288,False,0.11179245283018868,0.06467661691542288,False,27.89183282852173
YFT,19,hpc,0.1194968553459119,0.1257861635220125,60,0.2,477,10,0.11104821802935011,0.2537313432835821,False,0.110041928721174,0.1044776119402985,False,34.95201754570007
YFT,20,hpc,0.1194968553459119,0.1341719077568134,450,0.2,477,10,0.10976939203354298,0.23383084577114427,False,0.10949685534591193,0.05472636815920398,False,27.19181251525879
YFT,21,hpc,0.0922431865828092,0.0943396226415094,60,0.2,477,10,0.1119496855345912,0.9552238805970149,False,0.11115303983228511,0.9253731343283582,False,36.504252433776855
YFT,22,hpc,0.129979035639413,0.1362683438155136,90,0.2,477,10,0.11368972746331237,0.23880597014925373,False,0.11353249475890984,0.04477611940298507,True,30.388505935668945
YFT,23,hpc,0.1174004192872117,0.129979035639413,90,0.2,477,10,0.11042976939203353,0.36318407960199006,False,0.11057651991614253,0.13432835820895522,False,32.658422231674194
YFT,24,hpc,0.0985324947589098,0.0985324947589098,900,0.2,477,10,0.11090146750524109,0.900497512437811,False,0.11090146750524109,0.900497512437811,False,26.30123233795166
YFT,25,hpc,0.1362683438155136,0.1530398322851153,75,0.5,477,10,0.10986373165618447,0.04477611940298507,True,0.10979035639412998,0.009950248756218905,True,31.918683290481567
YFT,26,hpc,0.0964360587002096,0.1278825995807128,60,0.2,477,10,0.10961215932914044,0.7960199004975125,False,0.11053459119496856,0.15920398009950248,False,33.905694246292114
YFT,27,hpc,0.0985324947589098,0.1048218029350104,60,0.2,477,10,0.11107966457023061,0.9054726368159204,False,0.11015723270440252,0.7263681592039801,False,33.15497589111328
