number,mean,std,count,sem
1,17.47133407293835,10.554888864485479,11,3.1824187333998815
2,16.926527720645367,11.456202037296409,11,3.4541748800197554
3,11.794260997469554,7.885042698816979,11,2.3774298261733855
4,10.158591260195537,6.490332941998188,11,1.956909012099226
5,10.408991187066052,5.799624141612772,11,1.748652472983325
6,3.763409496029817,6.349508681119809,11,1.9144488998526161
7,8.308116126297945,11.471663766643092,11,3.458836766824571
8,8.662758809817634,8.853858850914433,11,2.669538886840944
9,12.506010329539741,12.208759812859443,11,3.681079586802216
