number,mean_firing_rate_hz,sem_firing_rate_hz,n_presentations
1,6.477987421383648,0.37948031822213596,53
2,6.766169154228855,0.33059273664591743,67
3,7.3076923076923075,0.4165296728550839,52
4,6.308243727598566,0.36023982768037266,62
5,7.189542483660131,0.40013667620951554,51
6,7.12962962962963,0.3926048587821643,48
7,6.068376068376068,0.30920213613520914,65
8,6.19047619047619,0.3694243397822471,49
9,7.092198581560283,0.35693212985378664,47
