number,TC1,TC2
1,-0.031048073184452133,0.2693086803425722
2,-0.018288268455320517,-0.0008478777023501608
3,-0.27078161032989734,-0.010246037955690509
4,0.005240592659263813,-0.2179545689870343
5,-0.12950839004952713,0.2536514363871916
6,-0.4468791687299776,-0.07039122204040787
7,0.16618914870143184,-0.2592211631205086
8,0.2682638723383965,-0.022738926154931588
9,0.44115941359474503,0.17522475288107905
