bin,time_ms,LDA1,LDA2,LDA3,LDA4,LDA5,LDA6
1,125,0.05928521062229644,-0.12612907367286347,-0.67791133899829,-0.34953244078667794,-0.5279686451868303,0.23147611280514083
2,275,-0.12126076736815396,-0.8931092125591187,0.337474970878553,-0.4033507986388535,-0.08950644620462397,-0.14893623284728735
3,425,-0.18535750707539747,0.14251826055344927,0.24864842400060352,-0.2608269100094987,0.2149301386931391,0.9181678548908799
4,575,-0.5018743238300367,0.42353863989930457,-0.1633025607417082,-0.6850293803883458,0.34963004433053424,-0.35144790794758773
5,725,0.5166002609515213,-0.2176157966274253,-0.3899901913614646,-0.07898001341160203,0.6586341181254163,0.11065053140366998
6,875,-0.6913293897293931,-0.3521332031683094,-0.4310286447699903,0.47603343629267136,0.18954466697724748,0.051195125303256823
