bin,time_ms,TC1,TC2
1,125,-0.08294408420293001,0.022360729884513705
2,275,0.13419693671432922,0.9376557194562228
3,425,0.23284664389428372,-0.014410517836612659
4,575,0.48375056050255916,-0.277022281471055
5,725,-0.48285238638304645,0.28958001406928907
6,875,0.7012059654928645,0.2325951154157309
