subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFI,31,ent,ENT,100,104,100.0,0.8,0.16346153846153846,0.09950248756218906,19.0,False,True,
YFI,32,ent,ENT,100,104,450.0,0.5,0.15384615384615385,0.10945273631840796,21.0,False,True,
YFI,33,ent,ENT,100,104,450.0,0.8,0.15384615384615385,0.13930348258706468,27.0,False,True,
YFI,34,ent,ENT,100,104,90.0,0.5,0.17307692307692307,0.04975124378109453,9.0,True,True,
YFI,35,ent,ENT,100,104,900.0,0.2,0.14423076923076922,0.21890547263681592,43.0,False,True,
YFI,36,ent,ENT,100,104,75.0,0.2,0.16346153846153846,0.07462686567164178,14.0,False,True,
YFI,37,ent,ENT,100,104,60.0,0.5,0.1346153846153846,0.32338308457711445,64.0,False,True,
YFJ,9,hpc,HPC,100,114,100.0,0.2,0.19298245614035087,0.01990049751243781,3.0,True,True,
YFJ,10,hpc,HPC,100,114,150.0,0.8,0.11403508771929824,0.42786069651741293,85.0,False,True,
YFJ,11,hpc,HPC,100,114,450.0,0.8,0.20175438596491227,0.004975124378109453,0.0,True,True,
YFJ,12,hpc,HPC,100,114,300.0,0.2,0.15789473684210525,0.05472636815920398,10.0,False,True,
YFJ,13,hpc,HPC,100,114,100.0,0.5,0.12280701754385964,0.39800995024875624,79.0,False,True,
YFJ,14,hpc,HPC,100,114,60.0,0.2,0.16666666666666666,0.31343283582089554,62.0,False,True,
YFJ,15,hpc,HPC,100,114,90.0,0.5,0.14035087719298245,0.21890547263681592,43.0,False,True,
YFJ,16,hpc,HPC,100,114,100.0,0.8,0.09649122807017543,0.5223880597014925,104.0,False,True,
YFJ,17,hpc,HPC,100,114,450.0,0.2,0.13157894736842105,0.0945273631840796,18.0,False,True,
YFJ,18,hpc,HPC,100,114,300.0,0.2,0.13157894736842105,0.24378109452736318,48.0,False,True,
YFJ,19,hpc,HPC,100,114,100.0,0.8,0.19298245614035087,0.009950248756218905,1.0,True,True,
YFJ,20,hpc,HPC,100,114,75.0,0.8,0.05263157894736842,0.8706467661691543,174.0,False,True,
YFJ,21,hpc,HPC,100,114,60.0,0.5,0.18421052631578946,0.04477611940298507,8.0,True,True,
YFJ,22,hpc,HPC,100,114,60.0,0.5,0.20175438596491227,0.024875621890547265,4.0,True,True,
YFJ,23,hpc,HPC,100,114,60.0,0.2,0.17543859649122806,0.03980099502487562,7.0,True,True,
YFJ,24,hpc,HPC,100,114,60.0,0.2,0.14035087719298245,0.22885572139303484,45.0,False,True,
YFJ,25,hpc,HPC,100,114,60.0,0.2,0.13157894736842105,0.3482587064676617,69.0,False,True,
YFJ,26,hpc,HPC,100,114,100.0,0.8,0.13157894736842105,0.3681592039800995,73.0,False,True,
YFJ,27,hpc,HPC,100,114,100.0,0.8,0.14035087719298245,0.208955223880597,41.0,False,True,
YFJ,28,hpc,HPC,100,114,180.0,0.8,0.24561403508771928,0.009950248756218905,1.0,True,True,
YFJ,37,hpc,HPC,100,114,100.0,0.2,0.15789473684210525,0.07960199004975124,15.0,False,True,
YFJ,38,hpc,HPC,100,114,180.0,0.2,0.12280701754385964,0.2885572139303483,57.0,False,True,
YFJ,39,hpc,HPC,100,114,900.0,0.2,0.14035087719298245,0.1691542288557214,33.0,False,True,
YFJ,40,hpc,HPC,100,114,150.0,0.2,0.13157894736842105,0.31840796019900497,63.0,False,True,
YFJ,41,hpc,HPC,100,114,225.0,0.2,0.17543859649122806,0.03482587064676617,6.0,True,True,
YFJ,42,hpc,HPC,100,114,300.0,0.8,0.18421052631578946,0.01990049751243781,3.0,True,True,
YFJ,43,hpc,HPC,100,114,450.0,0.2,0.14912280701754385,0.11940298507462686,23.0,False,True,
YFJ,44,hpc,HPC,100,114,100.0,0.2,0.15789473684210525,0.12437810945273632,24.0,False,True,
YFJ,45,hpc,HPC,100,114,450.0,0.2,0.10526315789473684,0.2935323383084577,58.0,False,True,
YFJ,46,hpc,HPC,100,114,90.0,0.2,0.17543859649122806,0.07462686567164178,14.0,False,True,
YFJ,47,hpc,HPC,100,114,225.0,0.5,0.15789473684210525,0.08955223880597014,17.0,False,True,
YFJ,48,hpc,HPC,100,114,225.0,0.8,0.18421052631578946,0.029850746268656716,5.0,True,True,
YFJ,49,hpc,HPC,100,114,900.0,0.2,0.18421052631578946,0.024875621890547265,4.0,True,True,
YFJ,50,hpc,HPC,100,114,150.0,0.5,0.15789473684210525,0.1044776119402985,20.0,False,True,
YFJ,51,hpc,HPC,100,114,150.0,0.2,0.13157894736842105,0.3034825870646766,60.0,False,True,
YFJ,52,hpc,HPC,100,114,90.0,0.5,0.14912280701754385,0.16417910447761194,32.0,False,True,
YFJ,53,hpc,HPC,100,114,75.0,0.2,0.05263157894736842,0.8955223880597015,179.0,False,True,
YFJ,54,hpc,HPC,100,114,90.0,0.2,0.14912280701754385,0.19402985074626866,38.0,False,True,
YFJ,55,hpc,HPC,100,114,90.0,0.5,0.14035087719298245,0.24875621890547264,49.0,False,True,
YFJ,56,hpc,HPC,100,114,75.0,0.2,0.13157894736842105,0.3333333333333333,66.0,False,True,
YFJ,57,hpc,HPC,100,114,100.0,0.8,0.19298245614035087,0.029850746268656716,5.0,True,True,
YFJ,58,hpc,HPC,100,114,100.0,0.2,0.14035087719298245,0.22885572139303484,45.0,False,True,
YFJ,59,hpc,HPC,100,114,90.0,0.5,0.14035087719298245,0.31343283582089554,62.0,False,True,
YFJ,60,hpc,HPC,100,114,75.0,0.5,0.18421052631578946,0.029850746268656716,5.0,True,True,
YFJ,61,hpc,HPC,100,114,75.0,0.5,0.15789473684210525,0.11940298507462686,23.0,False,True,
YFK,24,hpc,HPC,100,114,90.0,0.8,0.16666666666666666,0.07462686567164178,14.0,False,True,
YFK,25,hpc,HPC,100,114,60.0,0.8,0.14035087719298245,0.2537313432835821,50.0,False,True,
YFK,26,hpc,HPC,100,114,100.0,0.8,0.23684210526315788,0.004975124378109453,0.0,True,True,
YFK,27,hpc,HPC,100,114,60.0,0.2,0.16666666666666666,,,False,False,38 permutation accuracies were NaN
YFK,28,hpc,HPC,100,114,225.0,0.2,0.18421052631578946,0.04477611940298507,8.0,True,True,
YFK,29,hpc,HPC,100,114,100.0,0.8,0.16666666666666666,0.05472636815920398,10.0,False,True,
YFK,30,hpc,HPC,100,114,180.0,0.8,0.16666666666666666,0.06965174129353234,13.0,False,True,
YFK,31,hpc,HPC,100,114,300.0,0.8,0.15789473684210525,0.05970149253731343,11.0,False,True,
YFK,32,hpc,HPC,100,114,75.0,0.2,0.10526315789473684,0.5621890547263682,112.0,False,True,
YFK,33,hpc,HPC,100,114,180.0,0.5,0.14912280701754385,0.1691542288557214,33.0,False,True,
YFK,34,para-hpc,PARA-HPC,100,114,225.0,0.8,0.14912280701754385,0.12935323383084577,25.0,False,True,
YFK,35,para-hpc,PARA-HPC,100,114,150.0,0.8,0.14912280701754385,0.13930348258706468,27.0,False,True,
YFK,36,para-hpc,PARA-HPC,100,114,300.0,0.5,0.20175438596491227,0.004975124378109453,0.0,True,True,
YFK,37,para-hpc,PARA-HPC,100,114,100.0,0.2,0.17543859649122806,0.04477611940298507,8.0,True,True,
YFK,38,para-hpc,PARA-HPC,100,114,900.0,0.2,0.14035087719298245,0.14427860696517414,28.0,False,True,
YFK,39,para-hpc,PARA-HPC,100,114,60.0,0.5,0.21929824561403508,0.009950248756218905,1.0,True,True,
YFK,40,para-hpc,PARA-HPC,100,114,60.0,0.5,0.15789473684210525,0.12437810945273632,24.0,False,True,
YFK,41,para-hpc,PARA-HPC,100,114,60.0,0.8,0.11403508771929824,0.5373134328358209,107.0,False,True,
YFK,42,para-hpc,PARA-HPC,100,114,225.0,0.2,0.19298245614035087,0.01990049751243781,3.0,True,True,
YFK,43,para-hpc,PARA-HPC,100,114,90.0,0.5,0.16666666666666666,0.06467661691542288,12.0,False,True,
YFK,44,para-hpc,PARA-HPC,100,114,100.0,0.5,0.12280701754385964,0.39800995024875624,79.0,False,True,
YFK,45,para-hpc,PARA-HPC,100,114,180.0,0.2,0.18421052631578946,0.014925373134328358,2.0,True,True,
YFK,46,para-hpc,PARA-HPC,100,114,180.0,0.5,0.14912280701754385,0.1791044776119403,35.0,False,True,
YFK,47,hpc,HPC,100,114,150.0,0.2,0.15789473684210525,0.09950248756218906,19.0,False,True,
YFK,48,hpc,HPC,100,114,60.0,0.5,0.19298245614035087,0.03482587064676617,6.0,True,True,
YFK,49,hpc,HPC,100,114,225.0,0.8,0.15789473684210525,0.12437810945273632,24.0,False,True,
YFK,50,hpc,HPC,100,114,900.0,0.2,0.08771929824561403,0.5870646766169154,117.0,False,True,
YFK,51,hpc,HPC,100,114,90.0,0.2,0.21052631578947367,0.009950248756218905,1.0,True,True,
YFK,52,hpc,HPC,100,114,900.0,0.2,0.14912280701754385,0.0945273631840796,18.0,False,True,
YFK,53,hpc,HPC,100,114,60.0,0.2,0.12280701754385964,0.4129353233830846,82.0,False,True,
YFK,54,hpc,HPC,100,114,150.0,0.2,0.14912280701754385,0.0845771144278607,16.0,False,True,
YFK,55,hpc,HPC,100,114,90.0,0.8,0.16666666666666666,0.08955223880597014,17.0,False,True,
YFK,56,hpc,HPC,100,114,60.0,0.2,0.15789473684210525,,,False,False,1 permutation accuracies were NaN
YFK,57,hpc,HPC,100,114,225.0,0.8,0.18421052631578946,0.014925373134328358,2.0,True,True,
YFK,58,hpc,HPC,100,114,450.0,0.2,0.15789473684210525,0.0845771144278607,16.0,False,True,
YFK,59,hpc,HPC,100,114,100.0,0.2,0.17543859649122806,0.03980099502487562,7.0,True,True,
YFK,60,hpc,HPC,100,114,100.0,0.8,0.16666666666666666,0.05970149253731343,11.0,False,True,
YFK,61,hpc,HPC,100,114,60.0,0.2,0.14912280701754385,0.26865671641791045,53.0,False,True,
YFK,62,hpc,HPC,100,114,90.0,0.2,0.14035087719298245,0.22885572139303484,45.0,False,True,
