trial,tCue1,tCue2,tCue3,presentationEnd,tPress1,tPress2,tPress3,keyPress1,keyPress2,keyPress3,choiceEnd,timeFeedback,cue1,cue2,operation,operationFirst,correctAnsw,givenAnsw,correct,correctFb,toExclude,operand1_time,operation_time,operand2_time
17,206440.8,207190.8,207940.766666667,208690.766666667,210407.4,210924.066666667,,1,7.0,,211574.033333333,212074.033333333,7,10,+,1,17,17,1,1,0,207190.8,206440.8,207940.766666667
18,212574.033333333,213324.033333333,214074.0,214824.0,215790.633333333,,,0,,,216290.633333333,216790.633333333,0,7,-,0,-7,0,0,1,0,212574.033333333,214074.0,213324.033333333
19,217290.633333333,218040.6,218790.6,219540.566666667,225473.833333333,,,9,,,235240.333333333,235740.3,1,8,+,1,9,9,1,1,0,218040.6,217290.633333333,218790.6
20,236223.633333333,236973.633333333,237723.6,238473.6,243590.166666667,,,4,,,244240.166666667,244740.166666667,3,7,-,0,-4,4,0,1,0,236223.633333333,237723.6,236973.633333333
21,245240.166666667,245990.133333333,246740.133333333,247490.1,259489.9,,,3,,,260273.233333333,260773.2,3,5,-,1,-2,3,0,1,0,245990.133333333,245240.166666667,246740.133333333
22,261273.2,262023.2,262773.2,263523.166666667,265456.466666667,,,7,,,266173.133333333,266673.1,7,0,+,0,7,7,1,1,0,261273.2,262773.2,262023.2
23,267173.133333333,267923.1,268673.1,269423.066666667,271539.7,271789.7,,1,1.0,,272889.666666667,273389.666666667,4,7,+,1,11,11,1,1,0,267923.1,267173.133333333,268673.1
24,273889.666666667,274639.633333333,275389.633333333,276139.633333333,277922.933333333,,,3,,,278639.6,279139.566666667,5,2,-,1,3,3,1,1,0,274639.633333333,273889.666666667,275389.633333333
25,279639.566666667,280389.566666667,281139.533333333,281889.533333333,290339.4,,,0,,,291022.7,291522.7,0,10,-,0,-10,0,0,1,0,279639.566666667,281139.533333333,280389.566666667
26,292022.7,292772.666666667,293522.666666667,294272.666666667,301539.2,,,3,,,302355.833333333,302855.833333333,6,9,-,1,-3,3,0,1,0,292772.666666667,292022.7,293522.666666667
27,303355.833333333,304105.833333333,304855.8,305605.8,309755.733333333,,,4,,,310655.7,311172.366666667,7,3,-,1,4,4,1,1,0,304105.833333333,303355.833333333,304855.8
28,311672.366666667,312422.333333333,313172.333333333,313922.333333333,316488.966666667,,,8,,,317255.6,317755.566666667,2,6,+,0,8,8,1,1,0,311672.366666667,313172.333333333,312422.333333333
29,318255.6,319005.566666667,319755.566666667,320505.533333333,322072.2,,,9,,,322638.833333333,323155.5,0,9,+,1,9,9,1,1,0,319005.566666667,318255.6,319755.566666667
30,323655.5,324405.466666667,325155.466666667,325905.466666667,330088.733333333,,,6,,,330605.366666667,331122.033333333,0,6,-,1,-6,6,0,1,0,324405.466666667,323655.5,325155.466666667
31,331622.033333333,332372.0,333122.0,333872.0,337605.266666667,,,3,,,338188.566666667,338688.566666667,6,3,-,1,3,3,1,1,0,332372.0,331622.033333333,333122.0
