bootstrap_sample,mean_coding_proportion,mean_coding_percent
1,0.28836661895413845,28.836661895413844
2,0.30271082730646287,30.271082730646288
3,0.2924699781394207,29.246997813942073
4,0.27602372417313953,27.60237241731395
5,0.29182732928473293,29.182732928473293
6,0.2850433059320127,28.50433059320127
7,0.2665303977592037,26.653039775920366
8,0.2686751711046719,26.867517110467187
9,0.27602125776409536,27.602125776409537
10,0.2909401038749835,29.094010387498347
11,0.2858201993966187,28.58201993966187
12,0.28620283649896316,28.620283649896315
13,0.2957661829692056,29.57661829692056
14,0.28847592063851263,28.847592063851263
15,0.2908120756220734,29.08120756220734
16,0.3103832219812607,31.03832219812607
17,0.3138035083190718,31.38035083190718
18,0.30599074683408634,30.599074683408634
19,0.30215007721976994,30.215007721976995
20,0.2911623820373753,29.11623820373753
21,0.2895356993093947,28.953569930939473
22,0.2883008628233869,28.83008628233869
23,0.29232064376373307,29.232064376373305
24,0.28835156517662325,28.835156517662323
25,0.28807834134104554,28.807834134104553
26,0.273724095475586,27.3724095475586
27,0.31048227482859,31.048227482858998
28,0.2767393743800277,27.67393743800277
29,0.293597696574366,29.3597696574366
30,0.27781925493157766,27.781925493157765
31,0.286352205702316,28.635220570231603
32,0.29882241453693636,29.882241453693638
33,0.30934897672931516,30.934897672931516
34,0.2697007636694464,26.97007636694464
35,0.2975679048563135,29.756790485631353
36,0.28777142963283436,28.777142963283435
37,0.29527564043071913,29.527564043071912
38,0.2924675513486651,29.246755134866508
39,0.28038108182417115,28.038108182417115
40,0.2960840990607685,29.60840990607685
41,0.29353927400464896,29.353927400464897
42,0.276654695750425,27.6654695750425
43,0.29196113621556574,29.196113621556574
44,0.32068180663847917,32.06818066384792
45,0.2921698638536207,29.21698638536207
46,0.29116090863202576,29.116090863202576
47,0.29937339024838355,29.937339024838355
48,0.2949842513767393,29.498425137673927
49,0.25979615520767396,25.979615520767396
50,0.27736762603107307,27.736762603107305
51,0.29819693070966413,29.819693070966412
52,0.2967749690600031,29.67749690600031
53,0.28405531985699883,28.405531985699884
54,0.2680381870431722,26.803818704317223
55,0.27302128036881396,27.302128036881395
56,0.2901627841628327,29.01627841628327
57,0.2939021438761559,29.390214387615586
58,0.2759331552832214,27.593315528322137
59,0.2909223943767133,29.09223943767133
60,0.271980101166277,27.198010116627703
61,0.26808977975082365,26.808977975082364
62,0.28605945480828787,28.605945480828787
63,0.2752601046101707,27.52601046101707
64,0.2874111459473879,28.741114594738793
65,0.2618656558343386,26.186565583433858
66,0.27553679852574253,27.553679852574252
67,0.2742446015470558,27.42446015470558
68,0.2994209246545076,29.94209246545076
69,0.26565688714538793,26.565688714538794
70,0.2780430188866463,27.80430188866463
71,0.2821970222704659,28.21970222704659
72,0.2895823858530614,28.95823858530614
73,0.30012840122607753,30.012840122607752
74,0.31437837492196613,31.437837492196614
75,0.29295707384072006,29.295707384072006
76,0.29454269751936696,29.454269751936696
77,0.28695794673164204,28.695794673164205
78,0.2820916804957302,28.20916804957302
79,0.2659099573933534,26.590995739335337
80,0.28110564860340315,28.110564860340315
81,0.2878255564436362,28.782555644363622
82,0.28132653857497264,28.132653857497264
83,0.2685502561070472,26.85502561070472
84,0.29351413863785153,29.351413863785154
85,0.27976682125021723,27.976682125021725
86,0.2922315705902088,29.22315705902088
87,0.2959399762137364,29.593997621373642
88,0.2760986910448002,27.609869104480023
89,0.2533062965131509,25.33062965131509
90,0.261820397970829,26.1820397970829
91,0.2666352963722678,26.66352963722678
92,0.2812983187243565,28.129831872435652
93,0.30753664496239486,30.753664496239487
94,0.2816270911461522,28.162709114615218
95,0.2831428710779242,28.314287107792417
96,0.27079493877535915,27.079493877535914
97,0.29193914641625907,29.193914641625906
98,0.2782220498744409,27.82220498744409
99,0.2740450008698056,27.40450008698056
100,0.2956189167622579,29.561891676225788
101,0.2745978527018566,27.45978527018566
102,0.27095187325774633,27.095187325774635
103,0.3128783353008755,31.28783353008755
104,0.27441878106269263,27.441878106269264
105,0.29254290928199594,29.254290928199595
106,0.26304567636746135,26.304567636746135
107,0.2863454514554509,28.634545145545086
108,0.30102830173434425,30.102830173434427
109,0.2860298997299468,28.60298997299468
110,0.27284878361390685,27.284878361390685
111,0.27949996667162347,27.949996667162345
112,0.26084723908376733,26.084723908376734
113,0.29290568135476613,29.29056813547661
114,0.279583524608138,27.958352460813803
115,0.31340330779470227,31.34033077947023
116,0.2993939815150812,29.93939815150812
117,0.2925859640153398,29.258596401533982
118,0.28062100039439825,28.062100039439823
119,0.27913152514255,27.913152514255003
120,0.28981004377814107,28.981004377814106
121,0.2895040412346485,28.95040412346485
122,0.2729037121227274,27.290371212272742
123,0.3012814266055003,30.12814266055003
124,0.28845701365745957,28.845701365745956
125,0.28280898513938646,28.280898513938645
126,0.29201231995243365,29.201231995243365
127,0.2713312018279772,27.13312018279772
128,0.28944734191499605,28.944734191499606
129,0.28231930658744964,28.231930658744965
130,0.2944906190131431,29.44906190131431
131,0.3070580790029697,30.70580790029697
132,0.2995698380520598,29.95698380520598
133,0.29702686047252647,29.702686047252648
134,0.2909160257260235,29.091602572602348
135,0.29787144673014987,29.787144673014986
136,0.2845482261552499,28.45482261552499
137,0.30215924013067547,30.215924013067546
138,0.2984890370934034,29.84890370934034
139,0.30274068473963983,30.274068473963982
140,0.29697770751981556,29.697770751981555
141,0.26940245063150986,26.940245063150986
142,0.2833032901751987,28.33032901751987
143,0.28580520024229406,28.580520024229404
144,0.28096565227263026,28.096565227263028
145,0.26312733525737575,26.312733525737574
146,0.29012488917495366,29.012488917495364
147,0.2872533851797854,28.72533851797854
148,0.28396176206576595,28.396176206576595
149,0.2795698098122042,27.95698098122042
150,0.2757412748823713,27.57412748823713
151,0.2680846788782106,26.80846788782106
152,0.29074907133659084,29.074907133659085
153,0.2843816176580354,28.43816176580354
154,0.2815967954275957,28.15967954275957
155,0.28189870923252935,28.189870923252936
156,0.28021796738785304,28.021796738785305
157,0.27000326981701855,27.000326981701857
158,0.27535546983291453,27.535546983291454
159,0.3010639916828328,30.106399168283282
160,0.27729963036707855,27.729963036707854
161,0.2940635755517442,29.406357555174424
162,0.2910577459131552,29.10577459131552
163,0.2734400009968363,27.34400009968363
164,0.2849583557184184,28.495835571841837
165,0.27371340715371506,27.371340715371506
166,0.2852965010127939,28.52965010127939
167,0.2739950923621302,27.39950923621302
168,0.2753397847302017,27.53397847302017
169,0.29673771095178963,29.673771095178964
170,0.28198653342962277,28.198653342962277
171,0.28121956155270006,28.121956155270006
172,0.3034706469613923,30.34706469613923
173,0.27757299213582287,27.757299213582286
174,0.28814380411447804,28.814380411447804
175,0.3022264275505013,30.222642755050128
176,0.29330001859297977,29.330001859297976
177,0.2681406313021184,26.814063130211842
178,0.2947747825823277,29.47747825823277
179,0.2817878412164114,28.178784121641144
180,0.3050770628708945,30.507706287089448
181,0.258292709575789,25.8292709575789
182,0.29165472582372515,29.165472582372516
183,0.29079820616258656,29.079820616258655
184,0.27557669856564254,27.557669856564253
185,0.30927692109822824,30.927692109822825
186,0.29102421165352105,29.102421165352105
187,0.2749451093371239,27.49451093371239
188,0.277248608472398,27.724860847239803
189,0.26250794364625873,26.250794364625875
190,0.26666374888423594,26.666374888423594
191,0.28459318944885204,28.459318944885204
192,0.29350786238032317,29.350786238032317
193,0.28060774986736936,28.060774986736938
194,0.3014906866508259,30.14906866508259
195,0.28970503358268423,28.970503358268424
196,0.30339125776927084,30.339125776927084
197,0.276966999865453,27.696699986545298
198,0.2712904743579224,27.12904743579224
199,0.296811804228857,29.6811804228857
200,0.2799764148774447,27.997641487744467
201,0.2990144677966911,29.90144677966911
202,0.2916971556204711,29.16971556204711
203,0.2887267910571924,28.87267910571924
204,0.27734909024758764,27.734909024758764
205,0.29356325803171773,29.356325803171774
206,0.2976583021685517,29.76583021685517
207,0.2884182967906485,28.84182967906485
208,0.289646775284564,28.964677528456402
209,0.29799905879554783,29.79990587955478
210,0.28556839311295384,28.556839311295384
211,0.29704702776678377,29.704702776678378
212,0.2841492807648281,28.41492807648281
213,0.29394321243914767,29.394321243914767
214,0.3245111402901649,32.451114029016495
215,0.3013538829662206,30.13538829662206
216,0.28925053009238644,28.925053009238646
217,0.3133745412238762,31.33745412238762
218,0.2944442791222938,29.444427912229383
219,0.2623618617573393,26.236186175733927
220,0.2784114543439308,27.841145434393077
221,0.26550168421413506,26.550168421413506
222,0.28195967481276074,28.195967481276075
223,0.26630008099155583,26.63000809915558
