subject,n_neurons,mean_temporal_accuracy,mean_fr_accuracy,mean_accuracy_difference,temporal_percent,fr_percent,difference_percentage_points
YFF,37,0.15298785023555667,0.10438879246218696,0.0485990577733697,15.298785023555666,10.438879246218697,4.85990577733697
YFI,29,0.15881962864721486,0.11306366047745357,0.04575596816976127,15.881962864721485,11.306366047745357,4.575596816976127
YFJ,45,0.1512670565302144,0.10136452241715399,0.04990253411306043,15.12670565302144,10.1364522417154,4.990253411306043
YFK,44,0.15709728867623604,0.11483253588516745,0.04226475279106858,15.709728867623603,11.483253588516746,4.226475279106858
YFL,56,0.15037593984962405,0.09790100250626566,0.0524749373433584,15.037593984962406,9.790100250626566,5.24749373433584
YFM,59,0.15462384775498067,0.0984240261671127,0.05619982158786797,15.462384775498068,9.84240261671127,5.619982158786796
YFP,41,0.146650200679222,0.10497066995986415,0.04167953071935783,14.6650200679222,10.497066995986415,4.167953071935783
YFR,64,0.1362781954887218,0.10637922932330826,0.029898966165413533,13.62781954887218,10.637922932330826,2.9898966165413534
YFS,59,0.1360426296866975,0.10837185413456599,0.027670775552131485,13.604262968669751,10.837185413456599,2.7670775552131484
YFT,52,0.13102725366876308,0.11441702951136913,0.01661022415739397,13.102725366876308,11.441702951136913,1.661022415739397
YFU,62,0.13334203996343216,0.1099320882852292,0.02340995167820295,13.334203996343216,10.99320882852292,2.340995167820295
