subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFL,93,ent,60.0,0.2,0.13157894736842105,0.17543859649122806,0.043859649122807015
YFM,15,hpc,75.0,0.2,0.07017543859649122,0.16666666666666666,0.09649122807017543
YFM,16,hpc,100.0,0.2,0.11403508771929824,0.21052631578947367,0.09649122807017543
YFM,17,hpc,75.0,0.2,0.06140350877192982,0.19298245614035087,0.13157894736842105
YFM,18,hpc,180.0,0.2,0.07894736842105263,0.14035087719298245,0.06140350877192982
YFM,19,hpc,75.0,0.8,0.12280701754385964,0.17543859649122806,0.05263157894736842
YFM,20,hpc,60.0,0.2,0.05263157894736842,0.16666666666666666,0.11403508771929824
YFM,21,hpc,100.0,0.2,0.07894736842105263,0.14912280701754385,0.07017543859649122
YFM,22,hpc,90.0,0.2,0.043859649122807015,0.10526315789473684,0.06140350877192982
YFM,23,hpc,300.0,0.2,0.07017543859649122,0.14035087719298245,0.07017543859649122
YFM,24,hpc,100.0,0.2,0.07894736842105263,0.10526315789473684,0.02631578947368421
YFM,25,hpc,75.0,0.8,0.14035087719298245,0.15789473684210525,0.017543859649122806
YFM,33,ent,180.0,0.5,0.09649122807017543,0.19298245614035087,0.09649122807017543
YFM,34,ent,90.0,0.8,0.11403508771929824,0.12280701754385964,0.008771929824561403
YFM,35,ent,150.0,0.8,0.09649122807017543,0.17543859649122806,0.07894736842105263
YFM,36,ent,60.0,0.2,0.14035087719298245,0.20175438596491227,0.06140350877192982
YFM,37,ent,450.0,0.2,0.07017543859649122,0.12280701754385964,0.05263157894736842
YFM,38,ent,225.0,0.5,0.13157894736842105,0.21052631578947367,0.07894736842105263
YFM,39,ent,60.0,0.5,0.05263157894736842,0.11403508771929824,0.06140350877192982
YFM,40,ent,100.0,0.2,0.19298245614035087,0.21929824561403508,0.02631578947368421
YFM,41,ent,90.0,0.8,0.03508771929824561,0.14035087719298245,0.10526315789473684
YFM,42,ent,90.0,0.2,0.18421052631578946,0.18421052631578946,0.0
YFM,43,ent,100.0,0.2,0.13157894736842105,0.19298245614035087,0.06140350877192982
YFM,44,ent,180.0,0.2,0.06140350877192982,0.13157894736842105,0.07017543859649122
YFM,45,ent,60.0,0.2,0.06140350877192982,0.13157894736842105,0.07017543859649122
YFM,46,ent,300.0,0.8,0.05263157894736842,0.09649122807017543,0.043859649122807015
YFM,47,ent,100.0,0.2,0.11403508771929824,0.14912280701754385,0.03508771929824561
YFM,48,ent,225.0,0.5,0.07894736842105263,0.20175438596491227,0.12280701754385964
