neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region
8,109,7,0.10091743119266056,0.10339449541284404,116,0.582089552238806,False,YFF,ent
9,109,7,0.1651376146788991,0.10605504587155964,9,0.04975124378109453,True,YFF,hpc
10,109,7,0.13761467889908258,0.1058256880733945,41,0.208955223880597,False,YFF,hpc
11,109,7,0.09174311926605505,0.10788990825688075,144,0.7213930348258707,False,YFF,hpc
12,109,7,0.11926605504587157,0.10321100917431193,73,0.3681592039800995,False,YFF,hpc
13,109,7,0.11009174311926606,0.10733944954128441,106,0.5323383084577115,False,YFF,hpc
14,109,7,0.11009174311926606,0.10027522935779817,82,0.4129353233830846,False,YFF,hpc
15,109,7,0.08256880733944955,0.10889908256880736,159,0.7960199004975125,False,YFF,hpc
16,109,7,0.1651376146788991,0.11188073394495414,12,0.06467661691542288,False,YFF,hpc
26,109,7,0.07339449541284404,0.10894495412844037,185,0.9253731343283582,False,YFF,hpc
27,109,7,0.06422018348623854,0.10013761467889909,193,0.9651741293532339,False,YFF,hpc
28,109,7,0.13761467889908258,0.10908256880733944,48,0.24378109452736318,False,YFF,hpc
29,109,7,0.06422018348623854,0.09807339449541284,192,0.9601990049751243,False,YFF,hpc
30,109,7,0.06422018348623854,0.10724770642201836,190,0.9502487562189055,False,YFF,hpc
31,109,7,0.07339449541284404,0.09839449541284406,178,0.8905472636815921,False,YFF,hpc
32,109,7,0.06422018348623854,0.10761467889908256,187,0.9353233830845771,False,YFF,hpc
33,109,7,0.07339449541284404,0.10674311926605505,175,0.8756218905472637,False,YFF,hpc
34,109,7,0.08256880733944955,0.10362385321100918,161,0.8059701492537313,False,YFF,hpc
35,109,7,0.13761467889908258,0.11357798165137617,49,0.24875621890547264,False,YFF,hpc
36,109,7,0.045871559633027525,0.09678899082568808,198,0.9900497512437811,False,YFF,hpc
37,109,7,0.10091743119266056,0.10931192660550462,124,0.6218905472636815,False,YFF,hpc
38,109,7,0.14678899082568808,0.11009174311926605,35,0.1791044776119403,False,YFF,hpc
39,109,7,0.14678899082568808,0.10761467889908256,28,0.14427860696517414,False,YFF,hpc
40,109,7,0.09174311926605505,0.10738532110091743,148,0.7412935323383084,False,YFF,hpc
41,109,7,0.06422018348623854,0.1,191,0.9552238805970149,False,YFF,hpc
42,109,7,0.05504587155963303,0.10756880733944955,194,0.9701492537313433,False,YFF,hpc
43,109,7,0.09174311926605505,0.10559633027522936,144,0.7213930348258707,False,YFF,hpc
44,109,7,0.11926605504587157,0.10472477064220183,70,0.35323383084577115,False,YFF,hpc
45,109,7,0.13761467889908258,0.10201834862385323,31,0.15920398009950248,False,YFF,hpc
46,109,7,0.11926605504587157,0.10940366972477066,81,0.4079601990049751,False,YFF,hpc
47,109,7,0.09174311926605505,0.10133027522935781,135,0.6766169154228856,False,YFF,hpc
48,109,7,0.1651376146788991,0.10885321100917432,12,0.06467661691542288,False,YFF,hpc
49,109,7,0.08256880733944955,0.10110091743119266,146,0.7313432835820896,False,YFF,hpc
50,109,7,0.11009174311926606,0.10532110091743122,96,0.48258706467661694,False,YFF,hpc
51,109,7,0.11009174311926606,0.10123853211009173,86,0.43283582089552236,False,YFF,hpc
52,109,7,0.08256880733944955,0.1074770642201835,165,0.8258706467661692,False,YFF,hpc
53,109,7,0.11009174311926606,0.10201834862385323,91,0.4577114427860697,False,YFF,hpc
