prior,prior_mean_pp,prior_sd_pp,posterior_mean_pp,posterior_sd_pp,credible_interval_95_lower_pp,credible_interval_95_upper_pp,P_mu_gt_0,P_mu_gt_1,P_mu_gt_2,P_mu_gt_3
Very broad,0.0,10.0,3.943584114842723,0.3933624262986321,3.1726079264261124,4.714560303259333,1.0,0.9999999999999637,0.9999996112859519,0.9917747711947839
Broad,0.0,5.0,3.9253625037785764,0.3924525945532074,3.1561695528149896,4.694555454742163,1.0,0.9999999999999547,0.9999995351774816,0.9908105858027327
Skeptical,0.0,2.0,3.8023783842242542,0.38625577523874455,3.045330975935717,4.5594257925127915,1.0,0.9999999999997995,0.9999984665066933,0.9811141663575975
