permutation,mean_null_lda_accuracy
1,0.11846983856558736
2,0.1211776445107287
3,0.12385344298525756
4,0.12573241783157252
5,0.12146339657554793
6,0.13465326853041334
7,0.11893426583367211
8,0.1161639110476902
9,0.1226222336755684
10,0.11973560392141987
11,0.13421483981758464
12,0.12070149370975601
13,0.12600416886730087
14,0.15557489725974105
15,0.1135586486132107
16,0.14301851791106152
17,0.11917121498133114
18,0.12895029867634705
19,0.1385247090258157
20,0.12418421894911709
21,0.11731730016439616
22,0.1410563036171496
23,0.12836949515111876
24,0.1102891208252577
25,0.13549225767500853
26,0.1211421632181838
27,0.15293900539650937
28,0.13148738245227778
29,0.12280090462951848
30,0.12205597503216901
31,0.1377257733841031
32,0.13983994567705801
33,0.12616206857510776
34,0.1295953921208737
35,0.13114115038342342
36,0.11975298208538816
37,0.1205282343455926
38,0.13051999411808743
39,0.12374299039343378
40,0.14574330970297975
41,0.12490597719161543
42,0.12998482483394355
43,0.12583962068666782
44,0.14860337141912303
45,0.12871937415597998
46,0.12250536523577432
47,0.13468404494763048
48,0.13191071258446901
49,0.14172437807317492
50,0.1384652313060079
51,0.1267068198781043
52,0.12846827689839513
53,0.12357854459378129
54,0.11759469685239496
55,0.1250785585380185
56,0.11807497843195067
57,0.13236304252886144
58,0.1367102400389969
59,0.11850745943981417
60,0.13516028872616226
61,0.12022876719735959
62,0.1419957026635062
63,0.1236485956073171
64,0.1277676252901578
65,0.13505927892468728
66,0.14855814942055123
67,0.11571322016094555
68,0.13906020946563588
69,0.12339479644274726
70,0.14399266412587755
71,0.13964070722765523
72,0.11839840726668888
73,0.11934113964384027
74,0.1393758320365869
75,0.12634967978548647
76,0.1295834309844543
77,0.1395608666947867
78,0.13660717465735298
79,0.12065267198124348
80,0.14393019720945915
81,0.11043479229606831
82,0.1237047808938822
83,0.12315345279216455
84,0.13561916808030514
85,0.12719665426966942
86,0.14121505855002311
87,0.13078501547865426
88,0.11831071799477079
89,0.12292902418704194
90,0.12129742910420523
91,0.13991247996322895
92,0.11921626986610284
93,0.11666688013501152
94,0.11747976971728433
95,0.14067669187870394
96,0.12393570805283381
97,0.12963723988688022
98,0.11761438093870023
99,0.13414810646160166
100,0.11498634057747505
