bin,time_ms,LDA1,LDA2
1,125,0.05928521062229644,-0.12612907367286347
2,275,-0.12126076736815396,-0.8931092125591187
3,425,-0.18535750707539747,0.14251826055344927
4,575,-0.5018743238300367,0.42353863989930457
5,725,0.5166002609515213,-0.2176157966274253
6,875,-0.6913293897293931,-0.3521332031683094
