neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region
0,494,10,0.1214574898785425,0.11073886639676114,49,0.24875621890547264,False,YFU,amy
1,494,10,0.10526315789473684,0.11020242914979757,129,0.6467661691542289,False,YFU,amy
2,494,10,0.08097165991902834,0.11049595141700404,195,0.9751243781094527,False,YFU,amy
3,494,10,0.1214574898785425,0.11040485829959515,61,0.30845771144278605,False,YFU,amy
4,494,10,0.10728744939271255,0.1084008097165992,102,0.5124378109452736,False,YFU,amy
5,494,10,0.0931174089068826,0.1104757085020243,172,0.8606965174129353,False,YFU,amy
6,494,10,0.09919028340080972,0.11102226720647775,148,0.7412935323383084,False,YFU,amy
7,494,10,0.10931174089068826,0.11252024291497975,120,0.6019900497512438,False,YFU,amy
8,494,10,0.08704453441295547,0.11078947368421053,188,0.9402985074626866,False,YFU,amy
9,494,10,0.08704453441295547,0.11271255060728745,190,0.9502487562189055,False,YFU,amy
10,494,10,0.08704453441295547,0.109331983805668,189,0.945273631840796,False,YFU,amy
11,494,10,0.08299595141700405,0.11051619433198379,196,0.9800995024875622,False,YFU,amy
20,494,10,0.12550607287449392,0.11008097165991902,37,0.1890547263681592,False,YFU,hpc
21,494,10,0.13765182186234817,0.1112753036437247,9,0.04975124378109453,True,YFU,hpc
22,494,10,0.1417004048582996,0.10972672064777328,6,0.03482587064676617,True,YFU,hpc
23,494,10,0.09109311740890688,0.10993927125506074,177,0.8855721393034826,False,YFU,hpc
24,494,10,0.11538461538461539,0.11189271255060727,82,0.4129353233830846,False,YFU,hpc
25,494,10,0.08502024291497975,0.10801619433198381,183,0.9154228855721394,False,YFU,hpc
26,494,10,0.09919028340080972,0.10942307692307693,152,0.7611940298507462,False,YFU,hpc
27,494,10,0.11740890688259109,0.10780364372469636,65,0.3283582089552239,False,YFU,hpc
28,494,10,0.11133603238866396,0.1079251012145749,81,0.4079601990049751,False,YFU,hpc
29,494,10,0.12348178137651822,0.10891700404858298,38,0.19402985074626866,False,YFU,hpc
30,494,10,0.1437246963562753,0.11091093117408907,2,0.014925373134328358,True,YFU,hpc
31,494,10,0.09919028340080972,0.10805668016194332,151,0.7562189054726368,False,YFU,hpc
32,494,10,0.09919028340080972,0.11119433198380566,155,0.7761194029850746,False,YFU,hpc
33,494,10,0.12955465587044535,0.10901821862348178,22,0.11442786069651742,False,YFU,hpc
34,494,10,0.1214574898785425,0.10969635627530364,46,0.23383084577114427,False,YFU,hpc
35,494,10,0.0931174089068826,0.10958502024291499,168,0.8407960199004975,False,YFU,hpc
36,494,10,0.12753036437246965,0.10892712550607288,24,0.12437810945273632,False,YFU,hpc
37,494,10,0.12550607287449392,0.10969635627530364,33,0.1691542288557214,False,YFU,hpc
38,494,10,0.1437246963562753,0.11076923076923077,10,0.05472636815920398,False,YFU,hpc
39,494,10,0.12955465587044535,0.10868421052631579,21,0.10945273631840796,False,YFU,hpc
40,494,10,0.11336032388663968,0.10878542510121456,73,0.3681592039800995,False,YFU,hpc
41,494,10,0.09109311740890688,0.11038461538461539,181,0.9054726368159204,False,YFU,hpc
42,494,10,0.11133603238866396,0.10974696356275306,95,0.47761194029850745,False,YFU,hpc
43,494,10,0.11336032388663968,0.11073886639676114,93,0.46766169154228854,False,YFU,amy
44,494,10,0.08704453441295547,0.10981781376518217,190,0.9502487562189055,False,YFU,amy
45,494,10,0.11133603238866396,0.10933198380566803,89,0.44776119402985076,False,YFU,amy
46,494,10,0.10931174089068826,0.11073886639676113,112,0.5621890547263682,False,YFU,amy
47,494,10,0.11336032388663968,0.11075910931174089,85,0.42786069651741293,False,YFU,amy
48,494,10,0.145748987854251,0.1102327935222672,7,0.03980099502487562,True,YFU,amy
49,494,10,0.13360323886639677,0.11059716599190283,24,0.12437810945273632,False,YFU,amy
50,494,10,0.11336032388663968,0.11101214574898786,94,0.472636815920398,False,YFU,amy
51,494,10,0.10323886639676114,0.11058704453441295,134,0.6716417910447762,False,YFU,amy
52,494,10,0.10931174089068826,0.11017206477732795,109,0.5472636815920398,False,YFU,amy
53,494,10,0.1214574898785425,0.11189271255060727,56,0.2835820895522388,False,YFU,amy
54,494,10,0.09919028340080972,0.10954453441295547,151,0.7562189054726368,False,YFU,hpc
55,494,10,0.08299595141700405,0.11014170040485832,192,0.9601990049751243,False,YFU,hpc
56,494,10,0.10728744939271255,0.11073886639676113,120,0.6019900497512438,False,YFU,hpc
57,494,10,0.10323886639676114,0.11126518218623482,140,0.7014925373134329,False,YFU,hpc
58,494,10,0.11538461538461539,0.10939271255060729,76,0.38308457711442784,False,YFU,hpc
59,494,10,0.11740890688259109,0.11128542510121457,74,0.373134328358209,False,YFU,hpc
60,494,10,0.09919028340080972,0.10922064777327936,150,0.7512437810945274,False,YFU,hpc
61,494,10,0.11133603238866396,0.10835020242914979,94,0.472636815920398,False,YFU,hpc
62,494,10,0.12955465587044535,0.11029352226720647,26,0.13432835820895522,False,YFU,hpc
63,494,10,0.0931174089068826,0.1092004048582996,169,0.845771144278607,False,YFU,hpc
64,494,10,0.1214574898785425,0.11157894736842106,65,0.3283582089552239,False,YFU,hpc
65,494,10,0.12348178137651822,0.1090080971659919,40,0.20398009950248755,False,YFU,hpc
66,494,10,0.13562753036437247,0.10852226720647774,12,0.06467661691542288,False,YFU,hpc
67,494,10,0.10323886639676114,0.1091093117408907,130,0.6517412935323383,False,YFU,hpc
68,494,10,0.10526315789473684,0.111082995951417,131,0.6567164179104478,False,YFU,hpc
69,494,10,0.10121457489878542,0.10808704453441295,135,0.6766169154228856,False,YFU,hpc
