subject,bin_ms,n_neurons,n_presentations,n_features,observed_accuracy,observed_accuracy_percent,nominal_chance_percent,null_mean,null_mean_percent,null_sd,null_sd_percent,null_95_percent,n_perm_equal_or_better,permutation_p,significant_p05
YFF,60,37,109,555,0.1559633027522936,15.59633027522936,11.11111111111111,0.13053211009174312,13.053211009174312,0.03361714983742023,3.361714983742023,19.26605504587156,126,0.25349301397205587,False
YFI,60,29,104,435,0.20192307692307693,20.192307692307693,11.11111111111111,0.1558653846153846,15.58653846153846,0.037768708767530516,3.7768708767530517,22.115384615384613,70,0.14171656686626746,False
YFJ,60,45,114,675,0.16666666666666666,16.666666666666664,11.11111111111111,0.1385614035087719,13.856140350877192,0.03811921038149183,3.8119210381491833,21.052631578947366,122,0.24550898203592814,False
YFK,60,44,114,660,0.18421052631578946,18.421052631578945,11.11111111111111,0.13685964912280701,13.685964912280701,0.035363064592387985,3.5363064592387987,19.298245614035086,54,0.10978043912175649,False
YFL,60,57,114,855,0.12280701754385964,12.280701754385964,11.11111111111111,0.13949122807017542,13.949122807017542,0.03588767030933294,3.588767030933294,20.175438596491226,352,0.7045908183632734,False
YFM,60,61,114,915,0.20175438596491227,20.175438596491226,11.11111111111111,0.13898245614035085,13.898245614035085,0.03591694960691509,3.591694960691509,20.175438596491226,30,0.06187624750499002,False
YFP,60,43,158,645,0.12658227848101267,12.658227848101266,11.11111111111111,0.13434177215189874,13.434177215189875,0.029707074134673737,2.9707074134673737,18.354430379746837,302,0.6047904191616766,False
YFR,60,65,266,975,0.15037593984962405,15.037593984962406,11.11111111111111,0.11817293233082707,11.817293233082706,0.02198204367964898,2.1982043679648977,15.43233082706765,43,0.08782435129740519,False
YFS,60,59,264,885,0.07575757575757576,7.575757575757576,11.11111111111111,0.11378787878787879,11.378787878787879,0.02179680707064269,2.179680707064269,15.151515151515152,491,0.9820359281437125,False
YFT,60,52,477,780,0.14046121593291405,14.046121593291405,11.11111111111111,0.11266666666666665,11.266666666666666,0.01616055526440711,1.616055526440711,14.046121593291405,26,0.05389221556886228,False
YFU,60,62,494,930,0.10931174089068826,10.931174089068826,11.11111111111111,0.11398785425101216,11.398785425101215,0.01683258796327777,1.683258796327777,14.37246963562753,314,0.6287425149700598,False
