subject,neuron,region_raw,region,fr_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFF,8,ent,ENT,0.10091743119266056,0.7014925373134329,140.0,False,True,
YFF,9,hpc,HPC,0.12844036697247707,0.3333333333333333,66.0,False,True,
YFF,10,hpc,HPC,0.11926605504587157,0.3681592039800995,73.0,False,True,
YFF,11,hpc,HPC,0.12844036697247707,0.3383084577114428,67.0,False,True,
YFF,12,hpc,HPC,0.1743119266055046,0.03482587064676617,6.0,True,True,
YFF,13,hpc,HPC,0.12844036697247707,0.31840796019900497,63.0,False,True,
YFF,14,hpc,HPC,0.06422018348623854,0.9154228855721394,183.0,False,True,
YFF,15,hpc,HPC,0.09174311926605505,0.6368159203980099,127.0,False,True,
YFF,16,hpc,HPC,0.1651376146788991,0.07462686567164178,14.0,False,True,
YFF,26,hpc,HPC,0.05504587155963303,0.9751243781094527,195.0,False,True,
YFF,27,hpc,HPC,0.06422018348623854,0.9253731343283582,185.0,False,True,
YFF,28,hpc,HPC,0.06422018348623854,0.9601990049751243,192.0,False,True,
YFF,29,hpc,HPC,0.06422018348623854,0.9502487562189055,190.0,False,True,
YFF,30,hpc,HPC,0.07339449541284404,0.8855721393034826,177.0,False,True,
YFF,31,hpc,HPC,0.06422018348623854,0.9502487562189055,190.0,False,True,
YFF,32,hpc,HPC,0.12844036697247707,0.2537313432835821,50.0,False,True,
YFF,33,hpc,HPC,0.11009174311926606,0.5323383084577115,106.0,False,True,
YFF,34,hpc,HPC,0.10091743119266056,0.6268656716417911,125.0,False,True,
YFF,35,hpc,HPC,0.10091743119266056,0.6318407960199005,126.0,False,True,
YFF,36,hpc,HPC,0.045871559633027525,1.0,200.0,False,True,
YFF,37,hpc,HPC,0.06422018348623854,0.9552238805970149,191.0,False,True,
YFF,38,hpc,HPC,0.11926605504587157,0.39303482587064675,78.0,False,True,
YFF,39,hpc,HPC,0.14678899082568808,0.19402985074626866,38.0,False,True,
YFF,40,hpc,HPC,0.07339449541284404,0.8557213930348259,171.0,False,True,
YFF,41,hpc,HPC,0.07339449541284404,0.8706467661691543,174.0,False,True,
YFF,42,hpc,HPC,0.11009174311926606,0.5174129353233831,103.0,False,True,
YFF,43,hpc,HPC,0.10091743119266056,0.572139303482587,114.0,False,True,
YFF,44,hpc,HPC,0.11009174311926606,0.5024875621890548,100.0,False,True,
YFF,45,hpc,HPC,0.14678899082568808,0.1044776119402985,20.0,False,True,
YFF,46,hpc,HPC,0.1559633027522936,0.10945273631840796,21.0,False,True,
YFF,47,hpc,HPC,0.09174311926605505,0.7064676616915423,141.0,False,True,
YFF,48,hpc,HPC,0.11926605504587157,0.472636815920398,94.0,False,True,
YFF,49,hpc,HPC,0.10091743119266056,0.582089552238806,116.0,False,True,
YFF,50,hpc,HPC,0.13761467889908258,0.23383084577114427,46.0,False,True,
YFF,51,hpc,HPC,0.11926605504587157,0.3034825870646766,60.0,False,True,
YFF,52,hpc,HPC,0.10091743119266056,0.6417910447761194,128.0,False,True,
YFF,53,hpc,HPC,0.11926605504587157,0.3283582089552239,65.0,False,True,
YFI,0,hpc,HPC,0.08653846153846154,0.7313432835820896,146.0,False,True,
YFI,1,hpc,HPC,0.10576923076923077,0.48756218905472637,97.0,False,True,
YFI,2,hpc,HPC,0.11538461538461539,0.417910447761194,83.0,False,True,
YFI,3,hpc,HPC,0.19230769230769232,0.01990049751243781,3.0,True,True,
YFI,4,hpc,HPC,0.09615384615384616,0.6766169154228856,135.0,False,True,
YFI,5,hpc,HPC,0.0673076923076923,0.8955223880597015,179.0,False,True,
YFI,6,hpc,HPC,0.0673076923076923,0.9154228855721394,183.0,False,True,
YFI,7,hpc,HPC,0.125,0.30845771144278605,61.0,False,True,
YFI,8,hpc,HPC,0.09615384615384616,0.6865671641791045,137.0,False,True,
YFI,18,hpc,HPC,0.10576923076923077,0.6268656716417911,125.0,False,True,
YFI,19,hpc,HPC,0.11538461538461539,0.43781094527363185,87.0,False,True,
YFI,20,hpc,HPC,0.14423076923076922,0.19900497512437812,39.0,False,True,
YFI,21,hpc,HPC,0.11538461538461539,0.4228855721393035,84.0,False,True,
YFI,22,hpc,HPC,0.07692307692307693,0.8407960199004975,168.0,False,True,
YFI,23,hpc,HPC,0.11538461538461539,0.44776119402985076,89.0,False,True,
YFI,24,hpc,HPC,0.08653846153846154,0.7810945273631841,156.0,False,True,
YFI,25,hpc,HPC,0.0673076923076923,0.8805970149253731,176.0,False,True,
YFI,26,hpc,HPC,0.125,0.3333333333333333,66.0,False,True,
YFI,27,hpc,HPC,0.08653846153846154,0.7412935323383084,148.0,False,True,
YFI,28,hpc,HPC,0.1346153846153846,0.3333333333333333,66.0,False,True,
YFI,29,hpc,HPC,0.17307692307692307,0.05970149253731343,11.0,False,True,
YFI,30,ent,ENT,0.20192307692307693,0.009950248756218905,1.0,True,True,
YFI,31,ent,ENT,0.07692307692307693,0.8159203980099502,163.0,False,True,
YFI,32,ent,ENT,0.125,0.3582089552238806,71.0,False,True,
YFI,33,ent,ENT,0.1346153846153846,0.263681592039801,52.0,False,True,
YFI,34,ent,ENT,0.14423076923076922,0.18407960199004975,36.0,False,True,
YFI,35,ent,ENT,0.14423076923076922,0.21890547263681592,43.0,False,True,
YFI,36,ent,ENT,0.08653846153846154,0.8059701492537313,161.0,False,True,
YFI,37,ent,ENT,0.0673076923076923,0.8805970149253731,176.0,False,True,
YFJ,9,hpc,HPC,0.15789473684210525,0.07960199004975124,15.0,False,True,
YFJ,10,hpc,HPC,0.10526315789473684,0.40298507462686567,80.0,False,True,
YFJ,11,hpc,HPC,0.13157894736842105,0.21890547263681592,43.0,False,True,
YFJ,12,hpc,HPC,0.08771929824561403,0.6965174129353234,139.0,False,True,
YFJ,13,hpc,HPC,0.10526315789473684,0.5074626865671642,101.0,False,True,
YFJ,14,hpc,HPC,0.16666666666666666,0.32338308457711445,64.0,False,True,
YFJ,15,hpc,HPC,0.08771929824561403,0.7412935323383084,148.0,False,True,
YFJ,16,hpc,HPC,0.07894736842105263,0.7114427860696517,142.0,False,True,
YFJ,17,hpc,HPC,0.09649122807017543,0.4129353233830846,82.0,False,True,
YFJ,18,hpc,HPC,0.07017543859649122,0.8756218905472637,175.0,False,True,
YFJ,19,hpc,HPC,0.14912280701754385,0.10945273631840796,21.0,False,True,
YFJ,20,hpc,HPC,0.05263157894736842,0.9402985074626866,188.0,False,True,
YFJ,21,hpc,HPC,0.11403508771929824,0.47761194029850745,95.0,False,True,
YFJ,22,hpc,HPC,0.14912280701754385,0.09950248756218906,19.0,False,True,
YFJ,23,hpc,HPC,0.15789473684210525,0.07960199004975124,15.0,False,True,
YFJ,24,hpc,HPC,0.043859649122807015,0.9850746268656716,197.0,False,True,
YFJ,25,hpc,HPC,0.043859649122807015,1.0,200.0,False,True,
YFJ,26,hpc,HPC,0.07894736842105263,0.8159203980099502,163.0,False,True,
YFJ,27,hpc,HPC,0.07894736842105263,0.8308457711442786,166.0,False,True,
YFJ,28,hpc,HPC,0.14912280701754385,0.12935323383084577,25.0,False,True,
YFJ,37,hpc,HPC,0.10526315789473684,0.4925373134328358,98.0,False,True,
YFJ,38,hpc,HPC,0.09649122807017543,0.472636815920398,94.0,False,True,
YFJ,39,hpc,HPC,0.14035087719298245,0.1691542288557214,33.0,False,True,
YFJ,40,hpc,HPC,0.08771929824561403,0.7164179104477612,143.0,False,True,
YFJ,41,hpc,HPC,0.12280701754385964,0.31840796019900497,63.0,False,True,
YFJ,42,hpc,HPC,0.13157894736842105,0.2537313432835821,50.0,False,True,
YFJ,43,hpc,HPC,0.08771929824561403,0.7114427860696517,142.0,False,True,
YFJ,44,hpc,HPC,0.13157894736842105,0.23383084577114427,46.0,False,True,
YFJ,45,hpc,HPC,0.07017543859649122,0.7114427860696517,142.0,False,True,
YFJ,46,hpc,HPC,0.07894736842105263,0.835820895522388,167.0,False,True,
YFJ,47,hpc,HPC,0.10526315789473684,0.5572139303482587,111.0,False,True,
YFJ,48,hpc,HPC,0.12280701754385964,0.3283582089552239,65.0,False,True,
YFJ,49,hpc,HPC,0.18421052631578946,0.024875621890547265,4.0,True,True,
YFJ,50,hpc,HPC,0.10526315789473684,0.5223880597014925,104.0,False,True,
YFJ,51,hpc,HPC,0.08771929824561403,0.736318407960199,147.0,False,True,
YFJ,52,hpc,HPC,0.05263157894736842,0.9701492537313433,194.0,False,True,
YFJ,53,hpc,HPC,0.03508771929824561,1.0,200.0,False,True,
YFJ,54,hpc,HPC,0.10526315789473684,0.5422885572139303,108.0,False,True,
YFJ,55,hpc,HPC,0.05263157894736842,0.9751243781094527,195.0,False,True,
YFJ,56,hpc,HPC,0.05263157894736842,0.9701492537313433,194.0,False,True,
YFJ,57,hpc,HPC,0.17543859649122806,0.024875621890547265,4.0,True,True,
YFJ,58,hpc,HPC,0.05263157894736842,0.9900497512437811,198.0,False,True,
YFJ,59,hpc,HPC,0.08771929824561403,0.7860696517412935,157.0,False,True,
YFJ,60,hpc,HPC,0.10526315789473684,0.4626865671641791,92.0,False,True,
YFJ,61,hpc,HPC,0.07894736842105263,0.8557213930348259,171.0,False,True,
YFK,24,hpc,HPC,0.11403508771929824,0.3333333333333333,66.0,False,True,
YFK,25,hpc,HPC,0.07894736842105263,0.8159203980099502,163.0,False,True,
