number,trial_index,operand,spike_time_s,raster_row
8,255,1,0.299,441
8,255,1,0.316,441
8,255,1,0.378,441
8,255,1,0.38,441
8,255,1,0.399,441
8,255,1,0.406,441
8,255,1,0.51,441
8,255,1,0.728,441
8,255,1,0.96,441
9,255,2,0.21,488
9,255,2,0.488,488
9,255,2,0.556,488
9,255,2,0.692,488
9,255,2,0.71,488
9,255,2,0.752,488
8,256,2,0.106,442
8,256,2,0.12,442
8,256,2,0.202,442
8,256,2,0.51,442
8,256,2,0.531,442
8,256,2,0.758,442
8,256,2,0.77,442
8,256,2,0.784,442
8,256,2,0.811,442
8,256,2,0.903,442
2,257,1,0.213,110
2,257,1,0.307,110
2,257,1,0.471,110
2,257,1,0.553,110
2,257,1,0.64,110
2,257,1,0.767,110
2,257,1,0.826,110
4,257,2,0.017,217
4,257,2,0.076,217
4,257,2,0.286,217
4,257,2,0.416,217
2,258,1,0.431,111
6,259,1,0.012,323
6,259,1,0.061,323
6,259,1,0.092,323
6,259,1,0.41,323
6,259,1,0.435,323
6,259,2,0.545,324
6,259,2,0.611,324
2,260,1,0.038,112
2,260,1,0.604,112
2,260,1,0.694,112
2,260,1,0.765,112
4,260,2,0.015,218
4,260,2,0.788,218
4,260,2,0.866,218
4,260,2,0.968,218
5,261,1,0.069,277
5,261,1,0.618,277
6,261,2,0.293,325
6,261,2,0.382,325
6,261,2,0.425,325
6,261,2,0.465,325
6,261,2,0.485,325
6,261,2,0.552,325
6,261,2,0.707,325
6,261,2,0.808,325
6,261,2,0.829,325
6,261,2,0.935,325
2,262,2,0.032,113
2,262,2,0.197,113
2,262,2,0.392,113
2,262,2,0.469,113
2,262,2,0.551,113
2,262,2,0.595,113
2,262,2,0.775,113
2,262,2,0.916,113
1,263,1,0.133,45
1,263,1,0.223,45
1,263,1,0.397,45
1,263,1,0.401,45
1,263,1,0.672,45
1,263,1,0.935,45
1,263,1,0.972,45
1,263,1,0.995,45
5,264,1,0.035,278
5,264,1,0.089,278
5,264,1,0.591,278
5,264,1,0.619,278
5,264,1,0.709,278
5,264,1,0.85,278
9,264,2,0.1,489
9,264,2,0.5,489
9,264,2,0.55,489
9,264,2,0.694,489
9,264,2,0.768,489
9,264,2,0.858,489
9,264,2,0.892,489
6,265,1,0.314,326
6,265,1,0.386,326
6,265,1,0.412,326
6,265,1,0.555,326
6,265,1,0.765,326
6,265,1,0.869,326
1,265,2,0.015,46
1,265,2,0.119,46
1,265,2,0.328,46
1,265,2,0.338,46
1,265,2,0.414,46
1,265,2,0.436,46
1,265,2,0.875,46
1,265,2,0.92,46
4,266,2,0.178,219
4,266,2,0.471,219
4,266,2,0.588,219
4,266,2,0.765,219
4,266,2,0.926,219
9,267,1,0.077,490
9,267,1,0.104,490
9,267,1,0.229,490
9,267,1,0.28,490
9,267,1,0.561,490
7,268,1,0.236,393
7,268,1,0.445,393
7,268,1,0.448,393
7,268,1,0.996,393
4,268,2,0.246,220
4,268,2,0.256,220
4,268,2,0.421,220
4,268,2,0.433,220
4,268,2,0.461,220
4,268,2,0.522,220
4,268,2,0.534,220
4,268,2,0.678,220
4,268,2,0.681,220
3,269,1,0.1,168
3,269,1,0.163,168
3,269,1,0.193,168
3,269,1,0.374,168
3,269,1,0.731,168
3,269,1,0.771,168
3,269,1,0.923,168
9,269,2,0.021,491
9,269,2,0.173,491
9,269,2,0.404,491
9,269,2,0.537,491
9,269,2,0.771,491
9,269,2,0.836,491
5,270,1,0.08,279
5,270,1,0.225,279
5,270,1,0.303,279
5,270,1,0.328,279
5,270,1,0.495,279
5,270,1,0.519,279
5,270,1,0.655,279
5,270,1,0.742,279
5,270,1,0.764,279
5,270,1,0.826,279
5,270,1,0.977,279
1,270,2,0.014,47
1,270,2,0.076,47
1,270,2,0.227,47
1,270,2,0.321,47
1,270,2,0.366,47
1,270,2,0.385,47
1,270,2,0.5,47
1,270,2,0.637,47
1,270,2,0.918,47
5,271,2,0.187,280
5,271,2,0.207,280
5,271,2,0.512,280
5,271,2,0.544,280
5,271,2,0.82,280
5,271,2,0.895,280
4,272,1,0.457,221
4,272,1,0.735,221
4,272,1,0.833,221
4,272,1,0.964,221
3,273,1,0.045,169
3,273,1,0.122,169
3,273,1,0.16,169
3,273,1,0.489,169
3,273,1,0.518,169
3,273,1,0.739,169
3,273,1,0.943,169
8,273,2,0.193,443
8,273,2,0.378,443
8,273,2,0.551,443
8,273,2,0.607,443
8,273,2,0.872,443
3,274,1,0.296,170
3,274,1,0.375,170
3,274,1,0.449,170
3,274,1,0.709,170
3,274,1,0.81,170
3,274,1,0.976,170
2,274,2,0.06,114
2,274,2,0.226,114
2,274,2,0.306,114
2,274,2,0.338,114
2,274,2,0.424,114
2,274,2,0.624,114
2,274,2,0.668,114
2,275,2,0.0,115
2,275,2,0.131,115
2,275,2,0.192,115
2,275,2,0.438,115
2,275,2,0.44,115
2,275,2,0.916,115
4,276,1,0.316,222
4,276,1,0.873,222
2,276,2,0.123,116
2,276,2,0.316,116
2,276,2,0.453,116
2,276,2,0.963,116
4,277,2,0.398,223
4,277,2,0.478,223
4,277,2,0.642,223
4,277,2,0.749,223
4,277,2,0.976,223
6,278,1,0.173,327
6,278,1,0.29,327
6,278,1,0.314,327
6,278,1,0.43,327
6,278,1,0.562,327
6,278,1,0.691,327
6,278,1,0.813,327
6,278,1,0.825,327
6,278,1,0.835,327
6,278,1,0.889,327
9,278,2,0.063,492
9,278,2,0.075,492
9,278,2,0.085,492
9,278,2,0.139,492
9,278,2,0.457,492
9,278,2,0.479,492
9,278,2,0.602,492
9,278,2,0.942,492
8,279,1,0.004,444
8,279,1,0.033,444
8,279,1,0.044,444
8,279,1,0.563,444
8,279,1,0.57,444
8,279,1,0.588,444
8,279,1,0.951,444
5,279,2,0.201,281
5,279,2,0.414,281
5,279,2,0.417,281
5,279,2,0.448,281
5,279,2,0.565,281
5,279,2,0.651,281
5,279,2,0.7,281
5,279,2,0.914,281
6,280,1,0.399,328
6,280,1,0.437,328
6,280,1,0.489,328
6,280,1,0.866,328
6,280,1,0.932,328
7,280,2,0.116,394
7,280,2,0.182,394
7,280,2,0.49,394
7,280,2,0.587,394
7,280,2,0.624,394
7,280,2,0.856,394
7,280,2,0.925,394
7,280,2,0.969,394
3,281,1,0.141,171
3,281,1,0.335,171
3,281,1,0.433,171
3,281,1,0.718,171
3,281,1,0.971,171
4,281,2,0.221,224
4,281,2,0.299,224
4,281,2,0.4,224
4,281,2,0.461,224
4,281,2,0.77,224
4,281,2,0.878,224
4,281,2,0.886,224
5,282,1,0.07,282
5,282,1,0.158,282
5,282,1,0.543,282
5,282,1,0.716,282
5,282,1,0.749,282
5,282,1,0.971,282
1,282,2,0.221,48
1,282,2,0.261,48
1,282,2,0.501,48
1,282,2,0.715,48
1,282,2,0.965,48
1,283,1,0.38,49
1,283,1,0.578,49
1,283,1,0.669,49
1,283,1,0.941,49
4,283,2,0.191,225
4,283,2,0.275,225
4,283,2,0.302,225
4,283,2,0.393,225
4,283,2,0.74,225
4,283,2,0.912,225
4,284,2,0.074,226
4,284,2,0.08,226
4,284,2,0.092,226
4,284,2,0.333,226
4,284,2,0.575,226
4,284,2,0.745,226
4,284,2,0.821,226
1,285,1,0.129,50
1,285,1,0.162,50
1,285,1,0.379,50
1,285,1,0.476,50
1,285,1,0.557,50
1,285,1,0.826,50
1,285,1,0.842,50
1,285,1,0.856,50
1,285,1,0.875,50
1,285,1,0.938,50
9,285,2,0.076,493
9,285,2,0.092,493
9,285,2,0.106,493
9,285,2,0.125,493
9,285,2,0.188,493
9,285,2,0.313,493
9,285,2,0.401,493
9,285,2,0.515,493
9,285,2,0.798,493
9,285,2,0.971,493
6,286,1,0.519,329
8,287,1,0.706,445
8,287,1,0.742,445
8,287,1,0.816,445
8,287,1,0.905,445
4,288,1,0.507,227
4,288,1,0.737,227
4,288,1,0.847,227
4,288,1,0.927,227
4,288,1,0.985,227
4,288,2,0.097,228
4,288,2,0.177,228
4,288,2,0.235,228
4,288,2,0.385,228
4,288,2,0.464,228
4,288,2,0.502,228
4,289,1,0.111,229
4,289,1,0.383,229
4,289,1,0.992,229
6,289,2,0.242,330
6,289,2,0.609,330
6,289,2,0.762,330
6,289,2,0.842,330
6,289,2,0.921,330
6,289,2,0.979,330
7,290,1,0.006,395
7,290,1,0.341,395
7,290,1,0.388,395
7,290,1,0.496,395
7,290,1,0.521,395
7,290,1,0.553,395
7,290,1,0.697,395
2,290,2,0.338,117
2,290,2,0.406,117
2,290,2,0.517,117
2,290,2,0.805,117
2,290,2,0.843,117
2,290,2,0.87,117
1,291,1,0.061,51
1,291,1,0.444,51
1,291,1,0.533,51
1,291,1,0.72,51
1,291,1,0.803,51
1,291,1,0.861,51
1,291,1,0.953,51
4,291,2,0.053,230
4,291,2,0.111,230
4,291,2,0.203,230
4,291,2,0.577,230
4,291,2,0.706,230
6,292,1,0.011,331
6,292,1,0.802,331
6,292,1,0.989,331
7,292,2,0.052,396
7,292,2,0.239,396
7,292,2,0.665,396
7,293,1,0.251,397
7,293,1,0.419,397
7,293,1,0.453,397
7,293,1,0.457,397
7,293,1,0.756,397
7,293,1,0.935,397
4,293,2,0.006,231
4,293,2,0.185,231
4,293,2,0.298,231
4,293,2,0.309,231
4,293,2,0.352,231
4,293,2,0.671,231
4,293,2,0.774,231
4,293,2,0.846,231
5,294,1,0.198,283
5,294,1,0.27,283
5,294,1,0.433,283
5,294,1,0.451,283
5,294,1,0.532,283
5,294,1,0.622,283
5,294,1,0.657,283
5,294,1,0.839,283
1,294,2,0.089,52
1,294,2,0.354,52
1,294,2,0.448,52
1,294,2,0.471,52
1,294,2,0.662,52
1,294,2,0.867,52
2,295,1,0.433,118
2,295,1,0.604,118
2,295,1,0.642,118
2,295,1,0.868,118
2,295,1,0.973,118
8,295,2,0.118,446
8,295,2,0.223,446
8,295,2,0.429,446
8,295,2,0.55,446
8,295,2,0.713,446
8,295,2,0.886,446
6,296,1,0.003,332
6,296,1,0.335,332
6,296,1,0.405,332
6,296,1,0.645,332
6,296,1,0.675,332
6,296,1,0.841,332
6,296,1,0.874,332
6,296,1,0.971,332
4,297,1,0.158,232
4,297,1,0.331,232
4,297,1,0.36,232
4,297,1,0.417,232
4,297,1,0.59,232
4,297,1,0.757,232
4,297,1,0.848,232
4,297,1,0.906,232
5,297,2,0.007,284
5,297,2,0.098,284
5,297,2,0.156,284
5,297,2,0.409,284
5,297,2,0.613,284
5,297,2,0.913,284
4,298,1,0.161,233
4,298,1,0.194,233
4,298,1,0.332,233
4,298,1,0.425,233
4,298,1,0.461,233
4,298,1,0.534,233
4,298,1,0.864,233
4,298,1,0.904,233
4,298,1,0.967,233
2,298,2,0.114,119
2,298,2,0.154,119
2,298,2,0.217,119
2,298,2,0.629,119
2,298,2,0.727,119
