neuron_id,paper_unit,region,op1_accuracy,op1_bin,op1_gamma,op1_p,op1_tuned,op2_accuracy,op2_bin,op2_gamma,op2_p,op2_tuned
0,1,amy,0.11885245901639344,75,0.2,0.39303482587064675,False,0.108,150,0.5,0.5522388059701493,False
1,2,amy,0.1557377049180328,100,0.5,0.029850746268656716,True,0.136,150,0.2,0.208955223880597,False
2,3,amy,0.16393442622950818,300,0.2,0.04477611940298507,True,0.14,100,0.8,0.14427860696517414,False
3,4,amy,0.12704918032786885,180,0.8,0.23880597014925373,False,0.152,150,0.5,0.03980099502487562,True
4,5,amy,0.13524590163934427,225,0.8,0.13432835820895522,False,0.128,75,0.2,0.208955223880597,False
5,6,amy,0.12295081967213115,100,0.2,0.3482587064676617,False,0.14,450,0.8,0.09950248756218906,False
6,7,amy,0.11065573770491803,450,0.2,0.5223880597014925,False,0.116,300,0.8,0.42786069651741293,False
7,8,amy,0.12295081967213115,90,0.5,0.38308457711442784,False,0.156,180,0.5,0.03482587064676617,True
8,9,amy,0.13934426229508196,180,0.2,0.13930348258706468,False,0.148,225,0.8,0.09950248756218906,False
9,10,amy,0.13934426229508196,150,0.2,0.11442786069651742,False,0.16,900,0.2,0.05472636815920398,False
10,11,amy,0.14754098360655737,100,0.2,0.0945273631840796,False,0.152,75,0.2,0.07960199004975124,False
11,12,amy,0.1557377049180328,75,0.2,0.04975124378109453,True,0.112,60,0.5,0.5124378109452736,False
20,21,hpc,0.10245901639344263,225,0.2,0.6616915422885572,False,0.152,450,0.2,0.03980099502487562,True
21,22,hpc,0.14344262295081966,100,0.8,0.10945273631840796,False,0.164,180,0.2,0.009950248756218905,True
22,23,hpc,0.1721311475409836,60,0.2,0.024875621890547265,True,0.16,225,0.5,0.024875621890547265,True
23,24,hpc,0.10245901639344263,100,0.2,0.6368159203980099,False,0.12,100,0.2,0.3582089552238806,False
24,25,hpc,0.12295081967213115,60,0.2,0.3482587064676617,False,0.124,90,0.5,0.3383084577114428,False
