subject,neuron,best_bin_ms,best_gamma,overall_accuracy,max_class_accuracy,n_tied_preferred,preferred_numbers,has_tie,valid,preferred_number
YFM,74,150,0.2,0.19298245614035087,1.0,1,3,False,True,3.0
YFM,80,75,0.8,0.19298245614035087,0.5,1,4,False,True,4.0
YFM,85,75,0.8,0.21929824561403508,0.8235294117647058,1,2,False,True,2.0
YFM,91,60,0.5,0.20175438596491227,0.6666666666666666,1,8,False,True,8.0
YFM,92,180,0.5,0.19298245614035087,0.42857142857142855,1,5,False,True,5.0
YFP,30,180,0.2,0.17721518987341772,0.5714285714285714,1,7,False,True,7.0
YFP,34,150,0.8,0.17088607594936708,0.35714285714285715,1,7,False,True,7.0
YFP,35,90,0.2,0.17088607594936708,0.3333333333333333,1,2,False,True,2.0
YFP,38,900,0.2,0.16455696202531644,1.0,1,1,False,True,1.0
YFP,73,300,0.2,0.20253164556962025,0.4090909090909091,1,1,False,True,1.0
YFP,79,75,0.2,0.18354430379746836,1.0,1,1,False,True,1.0
YFP,85,180,0.2,0.18354430379746836,0.3333333333333333,1,4,False,True,4.0
YFP,90,300,0.2,0.189873417721519,0.29411764705882354,1,3,False,True,3.0
YFP,92,60,0.8,0.16455696202531644,0.25,1,5,False,True,5.0
YFP,93,900,0.2,0.15822784810126583,0.42857142857142855,1,8,False,True,8.0
YFR,1,450,0.2,0.16165413533834586,0.4411764705882353,1,4,False,True,4.0
YFR,5,90,0.8,0.15789473684210525,0.29411764705882354,1,9,False,True,9.0
YFR,17,150,0.2,0.16165413533834586,0.37037037037037035,1,3,False,True,3.0
YFR,19,900,0.2,0.16541353383458646,0.6470588235294118,1,4,False,True,4.0
YFR,20,90,0.2,0.16917293233082706,0.30434782608695654,1,8,False,True,8.0
YFR,21,90,0.2,0.16541353383458646,0.6944444444444444,1,1,False,True,1.0
YFR,22,300,0.2,0.17293233082706766,0.4411764705882353,1,4,False,True,4.0
YFR,27,150,0.2,0.18045112781954886,0.3103448275862069,1,2,False,True,2.0
YFR,31,300,0.8,0.16541353383458646,0.5172413793103449,1,2,False,True,2.0
YFR,33,60,0.5,0.20676691729323307,0.3055555555555556,1,1,False,True,1.0
YFR,35,450,0.2,0.16165413533834586,0.43478260869565216,1,8,False,True,8.0
YFR,37,100,0.2,0.15413533834586465,0.2608695652173913,1,8,False,True,8.0
YFR,45,225,0.2,0.15789473684210525,0.4444444444444444,1,1,False,True,1.0
YFR,46,450,0.2,0.15037593984962405,0.8695652173913043,1,8,False,True,8.0
YFR,58,60,0.2,0.15789473684210525,0.5517241379310345,1,2,False,True,2.0
YFR,64,450,0.2,0.17293233082706766,0.3888888888888889,1,1,False,True,1.0
YFR,66,180,0.5,0.16165413533834586,0.4666666666666667,1,5,False,True,5.0
YFS,30,300,0.2,0.1590909090909091,0.4444444444444444,1,7,False,True,7.0
YFS,33,900,0.2,0.14015151515151514,0.8787878787878788,1,4,False,True,4.0
YFS,34,60,0.2,0.1590909090909091,0.3333333333333333,1,4,False,True,4.0
YFS,36,225,0.5,0.17803030303030304,0.4375,1,1,False,True,1.0
YFS,38,60,0.2,0.14393939393939395,0.7878787878787878,1,2,False,True,2.0
