number,coding_neurons,percentage
1,21,13.461538461538462
2,21,13.461538461538462
3,12,7.6923076923076925
4,26,16.666666666666668
5,12,7.6923076923076925
6,14,8.974358974358974
7,13,8.333333333333334
8,19,12.179487179487179
9,18,11.538461538461538
