trial_index,operand,number,TC1,TC2
0.0,1.0,7,-1.936622275153744,-1.4202525995138249
0.0,2.0,8,1.9756546978265166,0.21028887199853977
1.0,1.0,7,0.4727062067345178,0.47923957753819063
1.0,2.0,4,0.8728572294028323,-1.5409838310880577
2.0,1.0,7,1.6591378810718775,0.4913092513443951
2.0,2.0,6,-0.5992526051822078,-0.7032783472348041
3.0,2.0,5,1.8618958056668709,-0.44695138009543783
4.0,1.0,8,0.09280662053362326,-0.031801073064153834
5.0,1.0,4,-0.24324766242744764,0.9527948624495265
5.0,2.0,4,-1.037744159565989,0.5123213226127002
6.0,2.0,2,-1.167184178856611,-0.07013552312543636
7.0,1.0,7,0.7026229873107271,0.004669400039998713
7.0,2.0,3,-1.9918099269520817,-0.3759334222198981
8.0,1.0,3,0.6933165715400135,-1.2012344314440884
8.0,2.0,2,-1.985993077739503,-0.1787022831293777
9.0,1.0,4,-0.08263647850523669,1.226138430200879
9.0,2.0,4,0.38610617055608787,0.285689779385854
10.0,1.0,6,-1.1693212275434468,-0.16230233784399475
10.0,2.0,4,0.5220928750457264,1.3847218352168518
11.0,1.0,7,-1.3093896251315944,-0.03249192323294753
11.0,2.0,3,0.44539138117838434,0.15956070571299052
12.0,2.0,7,0.41995181558578826,-1.0250887127591932
13.0,1.0,7,-2.4984957798670653,0.9571036171191107
14.0,2.0,8,-0.484763877036124,0.2733059758615142
15.0,1.0,9,1.808427444257153,-0.12359116733205383
15.0,2.0,7,-0.029168117095518867,0.9027782174374952
16.0,1.0,7,-0.46114471773118315,-1.6591120507483563
17.0,2.0,7,0.8211081583817343,-1.9385825828552168
18.0,1.0,1,0.07326915432719162,0.6717744831036713
18.0,2.0,8,0.02020268549024001,-0.3387720989469522
19.0,1.0,3,1.0485916783083356,0.13549470723790188
19.0,2.0,7,0.5199558263588907,1.2925550204982934
20.0,1.0,3,-1.8544160097620455,0.4959213773273175
20.0,2.0,5,0.5389241294031473,-2.6112536549189276
21.0,1.0,7,0.15618938997987858,0.7602599568840459
22.0,1.0,4,0.28325114083516145,-0.29643226552942337
22.0,2.0,7,-1.3371017785495358,-1.5493829223608757
23.0,1.0,5,0.6580637138099154,0.3367213169847414
23.0,2.0,2,-0.3350724212780821,-1.675501237628942
25.0,1.0,6,-0.5498659368709992,0.20220391044385727
25.0,2.0,9,0.07326915432719162,0.6717744831036713
26.0,1.0,7,-0.5779958485871562,-2.127812867933172
26.0,2.0,3,-0.2459380085510087,-0.1925724974553189
27.0,1.0,2,-0.047991613040962375,-0.2213347294554473
27.0,2.0,6,0.15618938997987858,0.7602599568840459
28.0,2.0,9,-2.7321082266944674,-0.8204231038177677
